stat_block_id,ability,bonus
3252b304-f866-565f-8589-bc91ad630818,WISDOM,2
28ca8680-d046-521a-8cfe-e08f36ec9784,DEXTERITY,4
28ca8680-d046-521a-8cfe-e08f36ec9784,WISDOM,5
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,DEXTERITY,5
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,WISDOM,7
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,DEXTERITY,7
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,WISDOM,10
0e85d74b-3cc9-528e-8346-0c50e2fa890a,CHARISMA,7
0e85d74b-3cc9-528e-8346-0c50e2fa890a,INTELLIGENCE,5
0e85d74b-3cc9-528e-8346-0c50e2fa890a,STRENGTH,8
0e85d74b-3cc9-528e-8346-0c50e2fa890a,WISDOM,6
53eecd33-b723-5698-aad8-be4f5769dfff,DEXTERITY,2
53eecd33-b723-5698-aad8-be4f5769dfff,WISDOM,2
4861d128-a31a-5af4-a8cf-186ba15cdbe7,DEXTERITY,3
4861d128-a31a-5af4-a8cf-186ba15cdbe7,WISDOM,3
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,DEXTERITY,5
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,WISDOM,6
a79b4f29-217a-560d-b531-c4e3a1e90688,DEXTERITY,6
a79b4f29-217a-560d-b531-c4e3a1e90688,WISDOM,8
1810cc58-9406-5d1c-b03a-45846d94f7d6,DEXTERITY,2
1810cc58-9406-5d1c-b03a-45846d94f7d6,WISDOM,2
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,DEXTERITY,3
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,WISDOM,4
4a686859-4851-5d47-b3ea-d5303adfac70,DEXTERITY,5
4a686859-4851-5d47-b3ea-d5303adfac70,WISDOM,7
feb2e64e-a0be-5b77-b650-900315f7fbb2,DEXTERITY,7
feb2e64e-a0be-5b77-b650-900315f7fbb2,WISDOM,10
707a2111-17f9-5510-8d72-0638f947ccb1,CONSTITUTION,4
707a2111-17f9-5510-8d72-0638f947ccb1,WISDOM,3
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,CONSTITUTION,7
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,WISDOM,4
28133e24-4663-51d1-9e69-22efd9a246dd,CONSTITUTION,10
28133e24-4663-51d1-9e69-22efd9a246dd,WISDOM,7
ce0387c8-3d13-50bf-a216-5174851b483d,DEXTERITY,3
ce0387c8-3d13-50bf-a216-5174851b483d,WISDOM,2
20d99010-e378-59c5-a9ca-52eb9fbd070c,DEXTERITY,4
20d99010-e378-59c5-a9ca-52eb9fbd070c,WISDOM,4
df40b7e6-7047-5eb9-ab7e-f8ce1c1280d5,DEXTERITY,6
df40b7e6-7047-5eb9-ab7e-f8ce1c1280d5,WISDOM,7
33da4341-6b62-5233-9c0f-f355e2738ccc,DEXTERITY,8
33da4341-6b62-5233-9c0f-f355e2738ccc,WISDOM,10
75aaf7d9-8097-5f09-8c47-db10961f69cb,CONSTITUTION,5
75aaf7d9-8097-5f09-8c47-db10961f69cb,WISDOM,7
cf402a02-a4aa-50e5-a064-ab051149082f,WISDOM,2
e4ab2238-e788-5fae-b26d-32aa80151e67,WISDOM,4
38042d14-b41a-58d3-a5c3-ad7aec83e56d,CHARISMA,9
38042d14-b41a-58d3-a5c3-ad7aec83e56d,WISDOM,9
17cd2716-817e-5095-96fe-3eb45434cd63,DEXTERITY,6
17cd2716-817e-5095-96fe-3eb45434cd63,WISDOM,7
d7092d19-28a7-5f39-9e71-464623ce89c9,CONSTITUTION,11
d7092d19-28a7-5f39-9e71-464623ce89c9,WISDOM,7
0df6b8f7-5890-5cc2-9795-0ce79262cb6c,CHARISMA,8
0df6b8f7-5890-5cc2-9795-0ce79262cb6c,WISDOM,6
bc11534a-39f1-5691-bb6b-3885b920c84b,CHARISMA,8
bc11534a-39f1-5691-bb6b-3885b920c84b,CONSTITUTION,8
bc11534a-39f1-5691-bb6b-3885b920c84b,DEXTERITY,7
0e4104f9-de6d-5c28-9fca-22bf44b73ed6,CHARISMA,5
0e4104f9-de6d-5c28-9fca-22bf44b73ed6,CONSTITUTION,10
0e4104f9-de6d-5c28-9fca-22bf44b73ed6,DEXTERITY,3
b9adfac7-a098-5858-8481-6ad99f16eb26,CHARISMA,4
b9adfac7-a098-5858-8481-6ad99f16eb26,CONSTITUTION,8
b9adfac7-a098-5858-8481-6ad99f16eb26,WISDOM,3
6f9b0cfe-9018-5cb8-849f-e0e4ff493900,WISDOM,2
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,CHARISMA,7
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,CONSTITUTION,9
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,STRENGTH,9
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,WISDOM,7
d8f72762-af3b-5b03-9c37-a4ddc79f2e1b,CONSTITUTION,6
d8f72762-af3b-5b03-9c37-a4ddc79f2e1b,DEXTERITY,5
d8f72762-af3b-5b03-9c37-a4ddc79f2e1b,STRENGTH,7
d8f72762-af3b-5b03-9c37-a4ddc79f2e1b,WISDOM,4
5041345d-a209-5470-a65c-30ca8c8b0e01,DEXTERITY,4
5041345d-a209-5470-a65c-30ca8c8b0e01,WISDOM,2
cd5a1706-a5eb-5f93-9a27-d0e675cf4d3f,DEXTERITY,6
cd5a1706-a5eb-5f93-9a27-d0e675cf4d3f,WISDOM,5
f30a06ec-741b-5822-ae9b-15d64671ed04,DEXTERITY,8
f30a06ec-741b-5822-ae9b-15d64671ed04,WISDOM,8
48df82ed-f959-54b8-b03a-24dc248ba79b,DEXTERITY,9
48df82ed-f959-54b8-b03a-24dc248ba79b,WISDOM,10
0e52bb7c-96d5-58f9-b469-b45eab8c3c3d,DEXTERITY,3
0e52bb7c-96d5-58f9-b469-b45eab8c3c3d,WISDOM,2
6b603949-759d-5c72-b310-074d45747013,DEXTERITY,4
6b603949-759d-5c72-b310-074d45747013,WISDOM,4
352006ea-b852-59c0-b79c-6dda624688c4,DEXTERITY,6
352006ea-b852-59c0-b79c-6dda624688c4,WISDOM,7
e02f30d6-9c3f-5ee7-9937-b2df7044344c,DEXTERITY,8
e02f30d6-9c3f-5ee7-9937-b2df7044344c,WISDOM,10
5741bdc0-01af-5fdf-938b-d977ca6f514d,CHARISMA,8
5741bdc0-01af-5fdf-938b-d977ca6f514d,CONSTITUTION,7
5741bdc0-01af-5fdf-938b-d977ca6f514d,DEXTERITY,8
5741bdc0-01af-5fdf-938b-d977ca6f514d,INTELLIGENCE,7
5741bdc0-01af-5fdf-938b-d977ca6f514d,WISDOM,8
cab786f8-266c-5d51-87eb-518eb632d617,DEXTERITY,5
cab786f8-266c-5d51-87eb-518eb632d617,WISDOM,5
f0daad33-3bad-5c96-9515-fbe749874b41,CONSTITUTION,8
f0daad33-3bad-5c96-9515-fbe749874b41,STRENGTH,7
f0daad33-3bad-5c96-9515-fbe749874b41,WISDOM,4
9f10001a-1443-5480-9792-f59d6ab56cc8,CHARISMA,0
9f10001a-1443-5480-9792-f59d6ab56cc8,WISDOM,2
7e11286d-f7aa-5d3b-9ad1-2da41f2f5c14,CHARISMA,8
7e11286d-f7aa-5d3b-9ad1-2da41f2f5c14,DEXTERITY,7
7e11286d-f7aa-5d3b-9ad1-2da41f2f5c14,STRENGTH,10
7e11286d-f7aa-5d3b-9ad1-2da41f2f5c14,WISDOM,7
639dc600-5a69-58a8-ba9a-f9a49f36ae95,CHARISMA,9
639dc600-5a69-58a8-ba9a-f9a49f36ae95,CONSTITUTION,9
639dc600-5a69-58a8-ba9a-f9a49f36ae95,DEXTERITY,7
639dc600-5a69-58a8-ba9a-f9a49f36ae95,WISDOM,7
4e972e38-7089-56be-b409-0cba74ef0537,CONSTITUTION,4
4e972e38-7089-56be-b409-0cba74ef0537,WISDOM,2
cfcdd6a4-3b89-53a6-9557-d06ca21a1946,CONSTITUTION,15
cfcdd6a4-3b89-53a6-9557-d06ca21a1946,DEXTERITY,7
cfcdd6a4-3b89-53a6-9557-d06ca21a1946,STRENGTH,17
cfcdd6a4-3b89-53a6-9557-d06ca21a1946,WISDOM,11
874246f2-ba2f-5948-add9-e11c8fa60fd9,CONSTITUTION,10
874246f2-ba2f-5948-add9-e11c8fa60fd9,DEXTERITY,10
874246f2-ba2f-5948-add9-e11c8fa60fd9,INTELLIGENCE,12
874246f2-ba2f-5948-add9-e11c8fa60fd9,WISDOM,9
e9358f36-6ff4-5a72-bd5e-923bc130177c,INTELLIGENCE,6
e9358f36-6ff4-5a72-bd5e-923bc130177c,WISDOM,4
252f9ded-9b49-5d4d-bda3-d1141e1b97f4,INTELLIGENCE,9
252f9ded-9b49-5d4d-bda3-d1141e1b97f4,WISDOM,6
cac1f74d-45d4-5314-abde-f8386a57304b,CHARISMA,10
cac1f74d-45d4-5314-abde-f8386a57304b,CONSTITUTION,10
cac1f74d-45d4-5314-abde-f8386a57304b,STRENGTH,9
cac1f74d-45d4-5314-abde-f8386a57304b,WISDOM,8
4d26569e-6acf-582e-a1b0-d097e477ed7e,WISDOM,4
ef32e688-948a-50df-8734-56c6e5720391,WISDOM,3
74ea9d70-a5a1-5c65-8527-7e786bb6045e,INTELLIGENCE,5
74ea9d70-a5a1-5c65-8527-7e786bb6045e,WISDOM,9
c165fa51-3abd-5b4d-a097-059ffbf588f4,CHARISMA,7
c165fa51-3abd-5b4d-a097-059ffbf588f4,CONSTITUTION,11
c165fa51-3abd-5b4d-a097-059ffbf588f4,INTELLIGENCE,9
c165fa51-3abd-5b4d-a097-059ffbf588f4,WISDOM,6
50b05fc2-5b24-59c4-92c4-6151e86f42ed,CHARISMA,5
50b05fc2-5b24-59c4-92c4-6151e86f42ed,CONSTITUTION,6
50b05fc2-5b24-59c4-92c4-6151e86f42ed,DEXTERITY,3
50b05fc2-5b24-59c4-92c4-6151e86f42ed,WISDOM,4
40a2a2bb-0e31-5d7f-a389-5b795ba869a8,CONSTITUTION,7
61137728-1031-5ab2-961d-cd09da5d24b0,CHARISMA,3
61137728-1031-5ab2-961d-cd09da5d24b0,CONSTITUTION,5
61137728-1031-5ab2-961d-cd09da5d24b0,DEXTERITY,4
61137728-1031-5ab2-961d-cd09da5d24b0,WISDOM,4
5a7ebffa-d46d-5348-97b6-74810cf440ab,CHARISMA,4
5a7ebffa-d46d-5348-97b6-74810cf440ab,DEXTERITY,5
5fad0893-2721-5e54-87ac-c74595a5a8e1,CHARISMA,6
5fad0893-2721-5e54-87ac-c74595a5a8e1,DEXTERITY,7
5fad0893-2721-5e54-87ac-c74595a5a8e1,STRENGTH,3
5fad0893-2721-5e54-87ac-c74595a5a8e1,WISDOM,5
1f6780e2-633d-523c-9ae4-6f74c4ca04bc,DEXTERITY,8
1f6780e2-633d-523c-9ae4-6f74c4ca04bc,WISDOM,10
d5c41de9-f969-5a3a-a98b-a355fc36b0a4,CHARISMA,12
d5c41de9-f969-5a3a-a98b-a355fc36b0a4,CONSTITUTION,12
d5c41de9-f969-5a3a-a98b-a355fc36b0a4,STRENGTH,12
d5c41de9-f969-5a3a-a98b-a355fc36b0a4,WISDOM,11
d0069fe4-1f7f-531e-969e-8e9f751cbb02,CONSTITUTION,11
d0069fe4-1f7f-531e-969e-8e9f751cbb02,WISDOM,4
91ac15bc-bcfd-57a5-a6c9-e0a4593259ad,DEXTERITY,2
91ac15bc-bcfd-57a5-a6c9-e0a4593259ad,WISDOM,2
198505b8-d56a-5b8a-b550-4a85af512f4f,DEXTERITY,4
198505b8-d56a-5b8a-b550-4a85af512f4f,WISDOM,4
4f4517ac-a1f8-5b81-a64f-553d2b370d77,DEXTERITY,6
4f4517ac-a1f8-5b81-a64f-553d2b370d77,WISDOM,7
ebe3fc0e-b274-5701-bbeb-0eff8a046873,DEXTERITY,7
ebe3fc0e-b274-5701-bbeb-0eff8a046873,WISDOM,9
49455e6c-0e05-58ae-b3d3-7e8136717b56,DEXTERITY,4
49455e6c-0e05-58ae-b3d3-7e8136717b56,WISDOM,4
22b5678b-8fa5-5a6d-a7ec-bbe215df3d46,DEXTERITY,2
22b5678b-8fa5-5a6d-a7ec-bbe215df3d46,WISDOM,2
ff19a367-ce85-57fd-87fa-8ce112039f79,DEXTERITY,4
ff19a367-ce85-57fd-87fa-8ce112039f79,WISDOM,4
572aabd0-686e-5187-b72d-e9db3add7d7f,DEXTERITY,5
572aabd0-686e-5187-b72d-e9db3add7d7f,WISDOM,6
61648b56-7b1e-50fb-9133-05264fd470c1,DEXTERITY,7
61648b56-7b1e-50fb-9133-05264fd470c1,WISDOM,9
5df859a8-4247-5372-811b-304e3921ff11,CONSTITUTION,11
5df859a8-4247-5372-811b-304e3921ff11,DEXTERITY,6
5df859a8-4247-5372-811b-304e3921ff11,INTELLIGENCE,9
5df859a8-4247-5372-811b-304e3921ff11,WISDOM,12
7b035506-c08d-5e3b-9953-a27493b96e96,CHARISMA,6
7b035506-c08d-5e3b-9953-a27493b96e96,CONSTITUTION,5
7b035506-c08d-5e3b-9953-a27493b96e96,DEXTERITY,6
7b035506-c08d-5e3b-9953-a27493b96e96,WISDOM,5
a1bfe89a-4d20-5fcb-a3b4-bb3fee18ae2f,CONSTITUTION,8
a1bfe89a-4d20-5fcb-a3b4-bb3fee18ae2f,DEXTERITY,5
a1bfe89a-4d20-5fcb-a3b4-bb3fee18ae2f,WISDOM,4
2befbad5-fc44-5196-925e-4aef0bc84a75,CHARISMA,9
2befbad5-fc44-5196-925e-4aef0bc84a75,CONSTITUTION,10
2befbad5-fc44-5196-925e-4aef0bc84a75,STRENGTH,14
2befbad5-fc44-5196-925e-4aef0bc84a75,WISDOM,10
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,CHARISMA,9
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,DEXTERITY,9
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,INTELLIGENCE,5
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,WISDOM,9
3adcd839-4f14-5e6a-9ab4-62c8caf3d88f,CHARISMA,2
3adcd839-4f14-5e6a-9ab4-62c8caf3d88f,CONSTITUTION,5
3adcd839-4f14-5e6a-9ab4-62c8caf3d88f,STRENGTH,5
f022f9a7-af46-5251-9eac-b532ad6704b2,DEXTERITY,5
f022f9a7-af46-5251-9eac-b532ad6704b2,WISDOM,2
a628dc90-421d-5cd7-9394-f11ac9684481,DEXTERITY,6
a628dc90-421d-5cd7-9394-f11ac9684481,WISDOM,3
3a4c6071-45ce-544b-821c-32fa7b1db427,CHARISMA,9
3a4c6071-45ce-544b-821c-32fa7b1db427,CONSTITUTION,9
3a4c6071-45ce-544b-821c-32fa7b1db427,DEXTERITY,9
3a4c6071-45ce-544b-821c-32fa7b1db427,WISDOM,7
069c23dc-d371-5360-9dcf-9567d7805c65,CHARISMA,2
069c23dc-d371-5360-9dcf-9567d7805c65,DEXTERITY,5
069c23dc-d371-5360-9dcf-9567d7805c65,WISDOM,4
e50a506e-d3b7-5d24-926e-e81e7546358d,DEXTERITY,2
e50a506e-d3b7-5d24-926e-e81e7546358d,WISDOM,2
c5ae861c-ca16-5751-99f3-1cb1b5b4f951,DEXTERITY,3
c5ae861c-ca16-5751-99f3-1cb1b5b4f951,INTELLIGENCE,2
c5ae861c-ca16-5751-99f3-1cb1b5b4f951,WISDOM,3
42038caa-5299-5640-82b9-c0d6785a5f3a,DEXTERITY,5
42038caa-5299-5640-82b9-c0d6785a5f3a,WISDOM,6
19675f2e-3466-545b-9347-ade58f3b61ff,DEXTERITY,6
19675f2e-3466-545b-9347-ade58f3b61ff,WISDOM,7
16a54f39-cfd0-537b-b00e-9f569df859f9,WISDOM,0
ff5d8236-515f-5ded-abaa-8977de7c767a,WISDOM,0
18edc8a1-a7f7-5c04-a2f5-5d6ac7ff11d3,STRENGTH,6
b6f94207-b056-56fd-9747-762bbe4f62d1,CONSTITUTION,5
e183bc79-04bb-5372-9169-b047f0e7fcd6,DEXTERITY,4
2b88b661-117c-51b2-8b74-279854c1b565,CONSTITUTION,3
e0b6604b-fd2e-54cd-bd8b-8a7238ef5e58,STRENGTH,5
2d5e9b1e-44d6-5725-bd4e-fb25c296e462,DEXTERITY,6
2d5e9b1e-44d6-5725-bd4e-fb25c296e462,STRENGTH,6
6973e0ef-9840-5b46-8352-b6ce443262b8,STRENGTH,5
1058ea9a-cdae-5a42-9cd6-426cacacd53a,DEXTERITY,3
475622ca-91c4-5069-99b6-59d4f6faae01,WISDOM,4
24f1f770-8a07-548a-9483-3a4a57422c30,DEXTERITY,5
0995e01e-9ad2-5e88-91e1-4d1256c81e0d,STRENGTH,2
b094039b-a035-5218-9193-3313936b8be7,STRENGTH,7
6d01b2f9-9ed2-5558-9bba-9a8b8dee6bcf,CONSTITUTION,8
6d01b2f9-9ed2-5558-9bba-9a8b8dee6bcf,STRENGTH,10
6f0d4325-784e-5e2f-bd7d-e3efc43aebb8,WISDOM,3
934e95a7-8cdd-5c98-80c4-5623992c89f2,STRENGTH,4
3130cd14-8986-5456-8043-0704dd099eca,STRENGTH,4
6df7e48c-594b-55b7-b782-126e1cd6fe9a,DEXTERITY,5
6df7e48c-594b-55b7-b782-126e1cd6fe9a,STRENGTH,6
ce08d39e-2494-5328-a263-7a6dc8e07f2c,DEXTERITY,2
eebe064b-8aed-5057-a70d-49e7f7c9d6d6,STRENGTH,10
eebe064b-8aed-5057-a70d-49e7f7c9d6d6,WISDOM,4
ece6832f-59fc-5097-b4e4-8be81a97246e,WISDOM,3
