stat_block_id,damage_type,response
75aaf7d9-8097-5f09-8c47-db10961f69cb,PIERCING,RESISTANCE
75aaf7d9-8097-5f09-8c47-db10961f69cb,SLASHING,RESISTANCE
75aaf7d9-8097-5f09-8c47-db10961f69cb,PSYCHIC,IMMUNITY
75aaf7d9-8097-5f09-8c47-db10961f69cb,RADIANT,IMMUNITY
68a5204b-c403-538a-9ad4-12ac83ff69dc,BLUDGEONING,RESISTANCE
68a5204b-c403-538a-9ad4-12ac83ff69dc,PIERCING,RESISTANCE
68a5204b-c403-538a-9ad4-12ac83ff69dc,SLASHING,RESISTANCE
68a5204b-c403-538a-9ad4-12ac83ff69dc,NECROTIC,IMMUNITY
68a5204b-c403-538a-9ad4-12ac83ff69dc,POISON,IMMUNITY
38042d14-b41a-58d3-a5c3-ad7aec83e56d,RADIANT,RESISTANCE
17cd2716-817e-5095-96fe-3eb45434cd63,LIGHTNING,IMMUNITY
17cd2716-817e-5095-96fe-3eb45434cd63,THUNDER,IMMUNITY
d7092d19-28a7-5f39-9e71-464623ce89c9,FIRE,RESISTANCE
6133215b-a31d-562d-9316-35324f562d6c,COLD,RESISTANCE
6133215b-a31d-562d-9316-35324f562d6c,FIRE,RESISTANCE
6133215b-a31d-562d-9316-35324f562d6c,LIGHTNING,RESISTANCE
6133215b-a31d-562d-9316-35324f562d6c,POISON,IMMUNITY
3d4b70a2-00a8-50b4-b5d1-809fc757b318,THUNDER,VULNERABILITY
3d4b70a2-00a8-50b4-b5d1-809fc757b318,POISON,IMMUNITY
0df6b8f7-5890-5cc2-9795-0ce79262cb6c,FIRE,IMMUNITY
bc11534a-39f1-5691-bb6b-3885b920c84b,COLD,RESISTANCE
bc11534a-39f1-5691-bb6b-3885b920c84b,FIRE,IMMUNITY
bc11534a-39f1-5691-bb6b-3885b920c84b,POISON,IMMUNITY
36997c98-bf66-58b2-9d69-422d70eff96b,BLUDGEONING,RESISTANCE
36997c98-bf66-58b2-9d69-422d70eff96b,PIERCING,RESISTANCE
36997c98-bf66-58b2-9d69-422d70eff96b,SLASHING,RESISTANCE
36997c98-bf66-58b2-9d69-422d70eff96b,FIRE,IMMUNITY
36997c98-bf66-58b2-9d69-422d70eff96b,POISON,IMMUNITY
0e4104f9-de6d-5c28-9fca-22bf44b73ed6,FIRE,IMMUNITY
b50869dc-e3a1-57fd-8419-cd10dd1b1885,LIGHTNING,IMMUNITY
b50869dc-e3a1-57fd-8419-cd10dd1b1885,POISON,IMMUNITY
b9adfac7-a098-5858-8481-6ad99f16eb26,COLD,IMMUNITY
209a0db5-c38a-556f-b56a-7f274bb42e4d,POISON,IMMUNITY
2a1ca355-abde-537a-af0c-c79e04265666,ACID,IMMUNITY
6f9b0cfe-9018-5cb8-849f-e0e4ff493900,NECROTIC,RESISTANCE
6f9b0cfe-9018-5cb8-849f-e0e4ff493900,POISON,IMMUNITY
2ec7306c-1c74-51a7-940b-8cc4da983b97,ACID,RESISTANCE
2ec7306c-1c74-51a7-940b-8cc4da983b97,BLUDGEONING,RESISTANCE
2ec7306c-1c74-51a7-940b-8cc4da983b97,COLD,RESISTANCE
2ec7306c-1c74-51a7-940b-8cc4da983b97,FIRE,RESISTANCE
2ec7306c-1c74-51a7-940b-8cc4da983b97,LIGHTNING,RESISTANCE
2ec7306c-1c74-51a7-940b-8cc4da983b97,PIERCING,RESISTANCE
2ec7306c-1c74-51a7-940b-8cc4da983b97,SLASHING,RESISTANCE
2ec7306c-1c74-51a7-940b-8cc4da983b97,THUNDER,RESISTANCE
2ec7306c-1c74-51a7-940b-8cc4da983b97,NECROTIC,IMMUNITY
2ec7306c-1c74-51a7-940b-8cc4da983b97,POISON,IMMUNITY
6a74b6e8-457f-5655-9c95-72d4822f7ee7,POISON,IMMUNITY
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,COLD,RESISTANCE
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,FIRE,RESISTANCE
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,LIGHTNING,RESISTANCE
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,POISON,IMMUNITY
5041345d-a209-5470-a65c-30ca8c8b0e01,FIRE,IMMUNITY
cd5a1706-a5eb-5f93-9a27-d0e675cf4d3f,FIRE,IMMUNITY
f30a06ec-741b-5822-ae9b-15d64671ed04,FIRE,IMMUNITY
48df82ed-f959-54b8-b03a-24dc248ba79b,FIRE,IMMUNITY
6f87e0ae-d0fb-5f06-9dff-9b3a09154664,ACID,RESISTANCE
6f87e0ae-d0fb-5f06-9dff-9b3a09154664,COLD,RESISTANCE
6f87e0ae-d0fb-5f06-9dff-9b3a09154664,FIRE,RESISTANCE
0e52bb7c-96d5-58f9-b469-b45eab8c3c3d,POISON,IMMUNITY
6b603949-759d-5c72-b310-074d45747013,POISON,IMMUNITY
352006ea-b852-59c0-b79c-6dda624688c4,POISON,IMMUNITY
e02f30d6-9c3f-5ee7-9937-b2df7044344c,POISON,IMMUNITY
5741bdc0-01af-5fdf-938b-d977ca6f514d,POISON,IMMUNITY
0ec3a98e-0d40-5fba-933c-a05c59487953,FIRE,IMMUNITY
f0daad33-3bad-5c96-9515-fbe749874b41,COLD,RESISTANCE
f0daad33-3bad-5c96-9515-fbe749874b41,FIRE,RESISTANCE
f0daad33-3bad-5c96-9515-fbe749874b41,LIGHTNING,RESISTANCE
f0daad33-3bad-5c96-9515-fbe749874b41,POISON,IMMUNITY
9f10001a-1443-5480-9792-f59d6ab56cc8,POISON,IMMUNITY
7e11286d-f7aa-5d3b-9ad1-2da41f2f5c14,COLD,RESISTANCE
7e11286d-f7aa-5d3b-9ad1-2da41f2f5c14,FIRE,IMMUNITY
7e11286d-f7aa-5d3b-9ad1-2da41f2f5c14,POISON,IMMUNITY
639dc600-5a69-58a8-ba9a-f9a49f36ae95,COLD,IMMUNITY
639dc600-5a69-58a8-ba9a-f9a49f36ae95,FIRE,IMMUNITY
639dc600-5a69-58a8-ba9a-f9a49f36ae95,POISON,IMMUNITY
eac7706e-b667-5ac5-ae31-b3bf3e5c9bac,COLD,RESISTANCE
eac7706e-b667-5ac5-ae31-b3bf3e5c9bac,FIRE,IMMUNITY
eac7706e-b667-5ac5-ae31-b3bf3e5c9bac,POISON,IMMUNITY
3367bac2-faa5-5174-9acd-237dd9d9fbbf,COLD,RESISTANCE
3367bac2-faa5-5174-9acd-237dd9d9fbbf,FIRE,RESISTANCE
3367bac2-faa5-5174-9acd-237dd9d9fbbf,POISON,RESISTANCE
3367bac2-faa5-5174-9acd-237dd9d9fbbf,PSYCHIC,RESISTANCE
baafa8c2-3531-5793-a8d3-2c02e302903a,BLUDGEONING,RESISTANCE
baafa8c2-3531-5793-a8d3-2c02e302903a,PIERCING,RESISTANCE
baafa8c2-3531-5793-a8d3-2c02e302903a,SLASHING,RESISTANCE
baafa8c2-3531-5793-a8d3-2c02e302903a,POISON,IMMUNITY
6353a56e-4d51-5e4e-9815-7a47498e7ad7,FIRE,IMMUNITY
6353a56e-4d51-5e4e-9815-7a47498e7ad7,POISON,IMMUNITY
6353a56e-4d51-5e4e-9815-7a47498e7ad7,PSYCHIC,IMMUNITY
cfcdd6a4-3b89-53a6-9557-d06ca21a1946,COLD,IMMUNITY
cfcdd6a4-3b89-53a6-9557-d06ca21a1946,LIGHTNING,IMMUNITY
ca4ebfe1-7875-527f-8849-3aed5c7f1257,COLD,RESISTANCE
ca4ebfe1-7875-527f-8849-3aed5c7f1257,FIRE,IMMUNITY
ca4ebfe1-7875-527f-8849-3aed5c7f1257,POISON,IMMUNITY
874246f2-ba2f-5948-add9-e11c8fa60fd9,COLD,RESISTANCE
874246f2-ba2f-5948-add9-e11c8fa60fd9,LIGHTNING,RESISTANCE
874246f2-ba2f-5948-add9-e11c8fa60fd9,NECROTIC,IMMUNITY
874246f2-ba2f-5948-add9-e11c8fa60fd9,POISON,IMMUNITY
252f9ded-9b49-5d4d-bda3-d1141e1b97f4,PSYCHIC,IMMUNITY
ff734998-0aad-5bc3-b979-d62e50842e2c,FIRE,IMMUNITY
cac1f74d-45d4-5314-abde-f8386a57304b,COLD,RESISTANCE
cac1f74d-45d4-5314-abde-f8386a57304b,FIRE,RESISTANCE
cac1f74d-45d4-5314-abde-f8386a57304b,LIGHTNING,RESISTANCE
cac1f74d-45d4-5314-abde-f8386a57304b,POISON,IMMUNITY
63c2085a-f8fb-56a6-bd7a-7ec20b5e0b5d,FIRE,VULNERABILITY
63c2085a-f8fb-56a6-bd7a-7ec20b5e0b5d,POISON,IMMUNITY
089d2b7c-87b1-5a9e-8561-0997f2e8dadb,FIRE,VULNERABILITY
089d2b7c-87b1-5a9e-8561-0997f2e8dadb,COLD,IMMUNITY
089d2b7c-87b1-5a9e-8561-0997f2e8dadb,POISON,IMMUNITY
126bfcc3-bb22-5b98-9d99-805dc5254c26,COLD,VULNERABILITY
126bfcc3-bb22-5b98-9d99-805dc5254c26,FIRE,IMMUNITY
126bfcc3-bb22-5b98-9d99-805dc5254c26,POISON,IMMUNITY
96eca42e-4260-5e69-b338-c26f8d3774a9,FIRE,IMMUNITY
96eca42e-4260-5e69-b338-c26f8d3774a9,POISON,IMMUNITY
34afcb0b-0b82-56bb-b819-1efb6a800708,ACID,IMMUNITY
ef32e688-948a-50df-8734-56c6e5720391,FIRE,VULNERABILITY
ef32e688-948a-50df-8734-56c6e5720391,NECROTIC,IMMUNITY
ef32e688-948a-50df-8734-56c6e5720391,POISON,IMMUNITY
74ea9d70-a5a1-5c65-8527-7e786bb6045e,FIRE,VULNERABILITY
74ea9d70-a5a1-5c65-8527-7e786bb6045e,NECROTIC,IMMUNITY
74ea9d70-a5a1-5c65-8527-7e786bb6045e,POISON,IMMUNITY
c165fa51-3abd-5b4d-a097-059ffbf588f4,COLD,RESISTANCE
c165fa51-3abd-5b4d-a097-059ffbf588f4,FIRE,RESISTANCE
c165fa51-3abd-5b4d-a097-059ffbf588f4,LIGHTNING,RESISTANCE
c165fa51-3abd-5b4d-a097-059ffbf588f4,POISON,IMMUNITY
65484791-9b43-5d65-be3b-cbf65b4be9c5,COLD,RESISTANCE
65484791-9b43-5d65-be3b-cbf65b4be9c5,FIRE,RESISTANCE
40c86b28-ff23-54d9-9533-80b34fb57638,FIRE,IMMUNITY
9dd8d1ff-7594-518e-9d12-2b93012eaa10,ACID,RESISTANCE
9dd8d1ff-7594-518e-9d12-2b93012eaa10,LIGHTNING,IMMUNITY
9dd8d1ff-7594-518e-9d12-2b93012eaa10,SLASHING,IMMUNITY
50b05fc2-5b24-59c4-92c4-6151e86f42ed,COLD,RESISTANCE
1f6780e2-633d-523c-9ae4-6f74c4ca04bc,COLD,RESISTANCE
1f6780e2-633d-523c-9ae4-6f74c4ca04bc,FIRE,IMMUNITY
1f6780e2-633d-523c-9ae4-6f74c4ca04bc,POISON,IMMUNITY
d5c41de9-f969-5a3a-a98b-a355fc36b0a4,RADIANT,RESISTANCE
8b4527f2-be0e-54a1-9a38-5c740f5be669,COLD,RESISTANCE
8b4527f2-be0e-54a1-9a38-5c740f5be669,FIRE,RESISTANCE
8b4527f2-be0e-54a1-9a38-5c740f5be669,LIGHTNING,RESISTANCE
8b4527f2-be0e-54a1-9a38-5c740f5be669,POISON,IMMUNITY
952200fa-a33d-5e9a-9270-d875660a6e4a,PIERCING,VULNERABILITY
91ac15bc-bcfd-57a5-a6c9-e0a4593259ad,FIRE,IMMUNITY
198505b8-d56a-5b8a-b550-4a85af512f4f,FIRE,IMMUNITY
4f4517ac-a1f8-5b81-a64f-553d2b370d77,FIRE,IMMUNITY
ebe3fc0e-b274-5701-bbeb-0eff8a046873,FIRE,IMMUNITY
27b93787-51bc-5b70-930e-905c76c8a861,COLD,IMMUNITY
27b93787-51bc-5b70-930e-905c76c8a861,FIRE,IMMUNITY
0de28e84-86cb-5d90-a0c8-2a51bfde1bf0,ACID,RESISTANCE
0de28e84-86cb-5d90-a0c8-2a51bfde1bf0,COLD,RESISTANCE
255b5979-9d43-563c-804f-8340c1756bdf,COLD,VULNERABILITY
255b5979-9d43-563c-804f-8340c1756bdf,FIRE,IMMUNITY
be513016-5033-51e9-a25d-d88133e41410,RADIANT,VULNERABILITY
be513016-5033-51e9-a25d-d88133e41410,ACID,RESISTANCE
be513016-5033-51e9-a25d-d88133e41410,COLD,RESISTANCE
be513016-5033-51e9-a25d-d88133e41410,FIRE,RESISTANCE
be513016-5033-51e9-a25d-d88133e41410,LIGHTNING,RESISTANCE
be513016-5033-51e9-a25d-d88133e41410,THUNDER,RESISTANCE
be513016-5033-51e9-a25d-d88133e41410,NECROTIC,IMMUNITY
be513016-5033-51e9-a25d-d88133e41410,POISON,IMMUNITY
8797172f-e535-53b2-b92a-51c9f014bb9c,COLD,RESISTANCE
8797172f-e535-53b2-b92a-51c9f014bb9c,FIRE,RESISTANCE
8797172f-e535-53b2-b92a-51c9f014bb9c,LIGHTNING,IMMUNITY
e7044c07-d8e9-5da2-9307-aa80a82b2b84,POISON,IMMUNITY
22b5678b-8fa5-5a6d-a7ec-bbe215df3d46,COLD,IMMUNITY
ff19a367-ce85-57fd-87fa-8ce112039f79,COLD,IMMUNITY
572aabd0-686e-5187-b72d-e9db3add7d7f,COLD,IMMUNITY
61648b56-7b1e-50fb-9133-05264fd470c1,COLD,IMMUNITY
b925d03e-b635-5ff4-9a3a-55714f3801c8,BLUDGEONING,VULNERABILITY
b925d03e-b635-5ff4-9a3a-55714f3801c8,POISON,IMMUNITY
3894e974-6a37-5fe6-819f-34607281077b,BLUDGEONING,VULNERABILITY
3894e974-6a37-5fe6-819f-34607281077b,POISON,IMMUNITY
d6690be2-fe5d-5181-b5a2-a70d2f078524,BLUDGEONING,VULNERABILITY
d6690be2-fe5d-5181-b5a2-a70d2f078524,POISON,IMMUNITY
88e30d20-5c53-5362-ac06-23372004dcc2,POISON,IMMUNITY
88e30d20-5c53-5362-ac06-23372004dcc2,RADIANT,IMMUNITY
762c4171-6477-5706-b8ef-2d1882f9f0e7,ACID,RESISTANCE
762c4171-6477-5706-b8ef-2d1882f9f0e7,BLUDGEONING,RESISTANCE
762c4171-6477-5706-b8ef-2d1882f9f0e7,COLD,RESISTANCE
762c4171-6477-5706-b8ef-2d1882f9f0e7,FIRE,RESISTANCE
762c4171-6477-5706-b8ef-2d1882f9f0e7,LIGHTNING,RESISTANCE
762c4171-6477-5706-b8ef-2d1882f9f0e7,PIERCING,RESISTANCE
762c4171-6477-5706-b8ef-2d1882f9f0e7,SLASHING,RESISTANCE
762c4171-6477-5706-b8ef-2d1882f9f0e7,THUNDER,RESISTANCE
762c4171-6477-5706-b8ef-2d1882f9f0e7,NECROTIC,IMMUNITY
762c4171-6477-5706-b8ef-2d1882f9f0e7,POISON,IMMUNITY
d9fa6de6-609b-500a-b12b-5d6facdc2db1,NECROTIC,RESISTANCE
d9fa6de6-609b-500a-b12b-5d6facdc2db1,PSYCHIC,RESISTANCE
d9fa6de6-609b-500a-b12b-5d6facdc2db1,RADIANT,RESISTANCE
e9b8bfaa-6730-5da9-a123-2ddc61ee9887,NECROTIC,RESISTANCE
e9b8bfaa-6730-5da9-a123-2ddc61ee9887,RADIANT,RESISTANCE
e9b8bfaa-6730-5da9-a123-2ddc61ee9887,PSYCHIC,IMMUNITY
5df859a8-4247-5372-811b-304e3921ff11,NECROTIC,RESISTANCE
5df859a8-4247-5372-811b-304e3921ff11,RADIANT,RESISTANCE
5df859a8-4247-5372-811b-304e3921ff11,PSYCHIC,IMMUNITY
7b035506-c08d-5e3b-9953-a27493b96e96,POISON,IMMUNITY
1e3d7463-9156-5de7-817a-663e0cbf79d2,POISON,IMMUNITY
1e3d7463-9156-5de7-817a-663e0cbf79d2,PSYCHIC,IMMUNITY
2befbad5-fc44-5196-925e-4aef0bc84a75,COLD,RESISTANCE
2befbad5-fc44-5196-925e-4aef0bc84a75,LIGHTNING,IMMUNITY
2befbad5-fc44-5196-925e-4aef0bc84a75,THUNDER,IMMUNITY
578daa8d-fc6b-5da1-a52f-fbc8b4d7ad22,COLD,RESISTANCE
578daa8d-fc6b-5da1-a52f-fbc8b4d7ad22,FIRE,RESISTANCE
578daa8d-fc6b-5da1-a52f-fbc8b4d7ad22,POISON,RESISTANCE
578daa8d-fc6b-5da1-a52f-fbc8b4d7ad22,PSYCHIC,RESISTANCE
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,BLUDGEONING,RESISTANCE
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,PIERCING,RESISTANCE
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,SLASHING,RESISTANCE
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,FIRE,IMMUNITY
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,POISON,IMMUNITY
3a69541d-4ed4-56ef-9073-e768c6bf7342,FIRE,VULNERABILITY
3a69541d-4ed4-56ef-9073-e768c6bf7342,BLUDGEONING,RESISTANCE
3a69541d-4ed4-56ef-9073-e768c6bf7342,PIERCING,RESISTANCE
631e533d-18b2-5a2f-8152-df17a92aea99,POISON,IMMUNITY
f022f9a7-af46-5251-9eac-b532ad6704b2,NECROTIC,RESISTANCE
a628dc90-421d-5cd7-9394-f11ac9684481,NECROTIC,RESISTANCE
3a4c6071-45ce-544b-821c-32fa7b1db427,NECROTIC,RESISTANCE
069c23dc-d371-5360-9dcf-9567d7805c65,COLD,RESISTANCE
069c23dc-d371-5360-9dcf-9567d7805c65,FIRE,RESISTANCE
069c23dc-d371-5360-9dcf-9567d7805c65,LIGHTNING,RESISTANCE
069c23dc-d371-5360-9dcf-9567d7805c65,POISON,IMMUNITY
3840708e-43c7-5649-a63f-c2fc7a0494c8,ACID,RESISTANCE
3840708e-43c7-5649-a63f-c2fc7a0494c8,FIRE,RESISTANCE
3840708e-43c7-5649-a63f-c2fc7a0494c8,POISON,IMMUNITY
e50a506e-d3b7-5d24-926e-e81e7546358d,COLD,IMMUNITY
c5ae861c-ca16-5751-99f3-1cb1b5b4f951,COLD,IMMUNITY
42038caa-5299-5640-82b9-c0d6785a5f3a,COLD,IMMUNITY
19675f2e-3466-545b-9347-ade58f3b61ff,COLD,IMMUNITY
a3d10ca4-e168-5342-b4d0-29abb40fb585,NECROTIC,RESISTANCE
a3d10ca4-e168-5342-b4d0-29abb40fb585,POISON,IMMUNITY
a8a4704e-9528-54ea-8d2f-a56a6500efd9,ACID,RESISTANCE
a8a4704e-9528-54ea-8d2f-a56a6500efd9,BLUDGEONING,RESISTANCE
a8a4704e-9528-54ea-8d2f-a56a6500efd9,COLD,RESISTANCE
a8a4704e-9528-54ea-8d2f-a56a6500efd9,FIRE,RESISTANCE
a8a4704e-9528-54ea-8d2f-a56a6500efd9,NECROTIC,RESISTANCE
a8a4704e-9528-54ea-8d2f-a56a6500efd9,PIERCING,RESISTANCE
a8a4704e-9528-54ea-8d2f-a56a6500efd9,SLASHING,RESISTANCE
a8a4704e-9528-54ea-8d2f-a56a6500efd9,LIGHTNING,IMMUNITY
a8a4704e-9528-54ea-8d2f-a56a6500efd9,POISON,IMMUNITY
3d4115f7-a6b5-52db-be98-72f701a51c56,COLD,IMMUNITY
2cfb606a-60ec-5937-8db4-7d404c2234dc,ACID,RESISTANCE
2cfb606a-60ec-5937-8db4-7d404c2234dc,BLUDGEONING,RESISTANCE
2cfb606a-60ec-5937-8db4-7d404c2234dc,COLD,RESISTANCE
2cfb606a-60ec-5937-8db4-7d404c2234dc,FIRE,RESISTANCE
2cfb606a-60ec-5937-8db4-7d404c2234dc,PIERCING,RESISTANCE
2cfb606a-60ec-5937-8db4-7d404c2234dc,SLASHING,RESISTANCE
2cfb606a-60ec-5937-8db4-7d404c2234dc,NECROTIC,IMMUNITY
2cfb606a-60ec-5937-8db4-7d404c2234dc,POISON,IMMUNITY
940db73c-b87a-5957-b362-4dd008a8f48e,POISON,IMMUNITY
16a54f39-cfd0-537b-b00e-9f569df859f9,POISON,IMMUNITY
ff5d8236-515f-5ded-abaa-8977de7c767a,POISON,IMMUNITY
3704d23d-4c5e-55dc-84eb-a74e032a47e3,POISON,RESISTANCE
460f5a70-c348-5f39-92f1-37f1daea128f,POISON,RESISTANCE
913450cc-5e2c-5fb3-8705-5128e36f9efd,NECROTIC,RESISTANCE
913450cc-5e2c-5fb3-8705-5128e36f9efd,RADIANT,RESISTANCE
2d5e9b1e-44d6-5725-bd4e-fb25c296e462,NECROTIC,RESISTANCE
2d5e9b1e-44d6-5725-bd4e-fb25c296e462,RADIANT,RESISTANCE
6564e3d3-b0c6-5412-b3d6-cf949797b340,FIRE,RESISTANCE
475622ca-91c4-5069-99b6-59d4f6faae01,NECROTIC,RESISTANCE
475622ca-91c4-5069-99b6-59d4f6faae01,RADIANT,RESISTANCE
1a4f6c0f-9861-5eea-8341-245614a44a1d,NECROTIC,RESISTANCE
7b750e4f-bccc-5fed-9d8d-7043cd090cf7,COLD,RESISTANCE
f23951e9-2ae5-5d59-a8b4-8645656eaf73,BLUDGEONING,RESISTANCE
f23951e9-2ae5-5d59-a8b4-8645656eaf73,PIERCING,RESISTANCE
f23951e9-2ae5-5d59-a8b4-8645656eaf73,SLASHING,RESISTANCE
f97ba6a3-9c10-5b80-bc82-c1fb06994232,BLUDGEONING,RESISTANCE
f97ba6a3-9c10-5b80-bc82-c1fb06994232,PIERCING,RESISTANCE
f97ba6a3-9c10-5b80-bc82-c1fb06994232,SLASHING,RESISTANCE
362e7590-8cfd-5e25-bb73-34828a95590c,BLUDGEONING,RESISTANCE
362e7590-8cfd-5e25-bb73-34828a95590c,PIERCING,RESISTANCE
362e7590-8cfd-5e25-bb73-34828a95590c,SLASHING,RESISTANCE
ce08d39e-2494-5328-a263-7a6dc8e07f2c,BLUDGEONING,RESISTANCE
ce08d39e-2494-5328-a263-7a6dc8e07f2c,PIERCING,RESISTANCE
