stat_block_id,item_name,quantity
78c08956-5857-51c0-acfc-26dd812a1909,Greatclub,1
78c08956-5857-51c0-acfc-26dd812a1909,Javelins,3
5a7ebffa-d46d-5348-97b6-74810cf440ab,Daggers,6
5a7ebffa-d46d-5348-97b6-74810cf440ab,Leather Armor,1
5fad0893-2721-5e54-87ac-c74595a5a8e1,Pistol,1
5fad0893-2721-5e54-87ac-c74595a5a8e1,Rapier,1
8373949f-5cb1-5479-ba9a-652851ba3ab9,Chain Shirt,1
8373949f-5cb1-5479-ba9a-652851ba3ab9,Holy Symbol,1
8373949f-5cb1-5479-ba9a-652851ba3ab9,Mace,1
20998135-fcaa-5d94-8d4b-1f95bdecb9c3,Chain Shirt,1
20998135-fcaa-5d94-8d4b-1f95bdecb9c3,Holy Symbol,1
20998135-fcaa-5d94-8d4b-1f95bdecb9c3,Mace,1
872c883b-3192-5833-8111-b9170e159574,Leather Armor,1
872c883b-3192-5833-8111-b9170e159574,Longbow,1
872c883b-3192-5833-8111-b9170e159574,Shortsword,1
b925d03e-b635-5ff4-9a3a-55714f3801c8,Shortbow,1
b925d03e-b635-5ff4-9a3a-55714f3801c8,Shortsword,1
d66a8a58-b0c8-5f08-9ba5-db64b48dbb42,Hand Crossbow,1
d66a8a58-b0c8-5f08-9ba5-db64b48dbb42,Shortsword,1
d66a8a58-b0c8-5f08-9ba5-db64b48dbb42,Thieves' Tools,1
2845034d-f87a-5f06-98f4-7f54ae895d41,Heavy Crossbow,1
2845034d-f87a-5f06-98f4-7f54ae895d41,Leather Armor,1
2845034d-f87a-5f06-98f4-7f54ae895d41,Mace,1
3adcd839-4f14-5e6a-9ab4-62c8caf3d88f,Chain Mail,1
3adcd839-4f14-5e6a-9ab4-62c8caf3d88f,Heavy Crossbow,1
3adcd839-4f14-5e6a-9ab4-62c8caf3d88f,Warhammer,1
f022f9a7-af46-5251-9eac-b532ad6704b2,Daggers,10
f04ea9d0-7d55-593a-a41b-6fbb5299b577,Chain Shirt,1
f04ea9d0-7d55-593a-a41b-6fbb5299b577,Spear,1
190080e5-e870-55e0-ae7c-3badbf73ad9f,Greatsword,1
190080e5-e870-55e0-ae7c-3badbf73ad9f,Heavy Crossbow,1
190080e5-e870-55e0-ae7c-3badbf73ad9f,Splint Armor,1
f657ecb2-3549-5870-ba69-ba43eb1f9027,Handaxes,4
d1c9c99f-7203-5a69-af2b-4eeb0ad7af06,Javelins,6
cfa2ae81-694d-54b1-90f4-3f0ee7b7527c,Hand Crossbow,1
115165f3-4b3a-5dc8-ac74-cca8c02719c9,Longbow,1
4bad1953-be71-5018-bd30-ea4581d113bf,Longbow,1
a3d10ca4-e168-5342-b4d0-29abb40fb585,Studded Leather Armor,1
