stat_block_id,sense_type,range_feet
4a686859-4851-5d47-b3ea-d5303adfac70,BLINDSIGHT,60
4a686859-4851-5d47-b3ea-d5303adfac70,DARKVISION,120
feb2e64e-a0be-5b77-b650-900315f7fbb2,BLINDSIGHT,60
feb2e64e-a0be-5b77-b650-900315f7fbb2,DARKVISION,120
707a2111-17f9-5510-8d72-0638f947ccb1,DARKVISION,60
1f4940b4-7f8a-52de-8c9f-ca62bb7a26bb,DARKVISION,60
61a8a166-336a-5981-9e69-b22289abc5f6,DARKVISION,60
61a8a166-336a-5981-9e69-b22289abc5f6,TREMORSENSE,120
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,DARKVISION,120
b7798ab4-ff0f-597c-8f42-24ff5148156d,DARKVISION,60
f8687241-5230-57e7-8cc5-96a1769ed7eb,DARKVISION,60
30ddc18c-251c-5334-99e2-7b0e692d8a05,DARKVISION,60
be712961-00e4-5fdc-b3d9-7ce4b3ef3839,DARKVISION,120
b9eea488-d320-5cfa-b843-701d38590264,DARKVISION,60
ce0387c8-3d13-50bf-a216-5174851b483d,BLINDSIGHT,10
ce0387c8-3d13-50bf-a216-5174851b483d,DARKVISION,60
20d99010-e378-59c5-a9ca-52eb9fbd070c,BLINDSIGHT,30
20d99010-e378-59c5-a9ca-52eb9fbd070c,DARKVISION,120
df40b7e6-7047-5eb9-ab7e-f8ce1c1280d5,BLINDSIGHT,60
df40b7e6-7047-5eb9-ab7e-f8ce1c1280d5,DARKVISION,120
33da4341-6b62-5233-9c0f-f355e2738ccc,BLINDSIGHT,60
33da4341-6b62-5233-9c0f-f355e2738ccc,DARKVISION,120
75aaf7d9-8097-5f09-8c47-db10961f69cb,TRUESIGHT,120
68a5204b-c403-538a-9ad4-12ac83ff69dc,BLINDSIGHT,30
369d4ec5-4a3f-5850-a40f-54c4f4ae4b59,BLINDSIGHT,60
6f8f63ea-0142-585a-a7fe-0f86dfcf594f,DARKVISION,120
38042d14-b41a-58d3-a5c3-ad7aec83e56d,DARKVISION,120
17cd2716-817e-5095-96fe-3eb45434cd63,DARKVISION,120
f72245b9-387c-5cf6-bbe0-f1ac86a358c4,DARKVISION,60
d7092d19-28a7-5f39-9e71-464623ce89c9,DARKVISION,120
6133215b-a31d-562d-9316-35324f562d6c,DARKVISION,60
53c43655-552b-5980-baf2-1249e3456a99,DARKVISION,120
033c4445-4e17-58f3-be70-b82e6bf147f7,DARKVISION,60
3d4b70a2-00a8-50b4-b5d1-809fc757b318,DARKVISION,60
3d4b70a2-00a8-50b4-b5d1-809fc757b318,TREMORSENSE,60
0df6b8f7-5890-5cc2-9795-0ce79262cb6c,DARKVISION,120
bc11534a-39f1-5691-bb6b-3885b920c84b,TRUESIGHT,120
69acc152-e877-5d92-af3a-4d2d14804d64,DARKVISION,60
c87f1d42-e66b-50e8-9625-1741041c8a93,DARKVISION,60
36997c98-bf66-58b2-9d69-422d70eff96b,DARKVISION,60
b50869dc-e3a1-57fd-8419-cd10dd1b1885,DARKVISION,60
cc618aa0-1ee7-5853-a26e-000fb122fda3,BLINDSIGHT,30
ef11c0ec-388a-5fcb-8cb4-f3cff6d5dd10,BLINDSIGHT,30
209a0db5-c38a-556f-b56a-7f274bb42e4d,DARKVISION,60
2a1ca355-abde-537a-af0c-c79e04265666,BLINDSIGHT,60
6f9b0cfe-9018-5cb8-849f-e0e4ff493900,DARKVISION,60
2ec7306c-1c74-51a7-940b-8cc4da983b97,DARKVISION,60
6a74b6e8-457f-5655-9c95-72d4822f7ee7,DARKVISION,60
a4d9c15d-4ab6-5721-ad72-c042f590e25e,DARKVISION,60
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,TRUESIGHT,120
fc3aef8b-2b9b-50fb-98e4-3e5221400b1e,DARKVISION,60
ad77e9cf-c420-5b55-bafe-46c51fba0ade,DARKVISION,60
08b6d58f-a525-5063-9bdb-72618a737b11,DARKVISION,60
e8108f5d-5141-5121-89ec-692f9fe7328d,DARKVISION,60
5041345d-a209-5470-a65c-30ca8c8b0e01,BLINDSIGHT,10
5041345d-a209-5470-a65c-30ca8c8b0e01,DARKVISION,60
cd5a1706-a5eb-5f93-9a27-d0e675cf4d3f,BLINDSIGHT,30
cd5a1706-a5eb-5f93-9a27-d0e675cf4d3f,DARKVISION,120
f30a06ec-741b-5822-ae9b-15d64671ed04,BLINDSIGHT,60
f30a06ec-741b-5822-ae9b-15d64671ed04,DARKVISION,120
48df82ed-f959-54b8-b03a-24dc248ba79b,BLINDSIGHT,60
48df82ed-f959-54b8-b03a-24dc248ba79b,DARKVISION,120
be5a1ceb-5d3f-5258-9e1b-073feb18b8be,DARKVISION,60
6f87e0ae-d0fb-5f06-9dff-9b3a09154664,BLINDSIGHT,60
0e52bb7c-96d5-58f9-b469-b45eab8c3c3d,BLINDSIGHT,10
0e52bb7c-96d5-58f9-b469-b45eab8c3c3d,DARKVISION,60
6b603949-759d-5c72-b310-074d45747013,BLINDSIGHT,30
6b603949-759d-5c72-b310-074d45747013,DARKVISION,120
352006ea-b852-59c0-b79c-6dda624688c4,BLINDSIGHT,60
352006ea-b852-59c0-b79c-6dda624688c4,DARKVISION,120
e02f30d6-9c3f-5ee7-9937-b2df7044344c,BLINDSIGHT,60
e02f30d6-9c3f-5ee7-9937-b2df7044344c,DARKVISION,120
edb83e46-b4f5-56ed-8a8b-aebec29863c2,DARKVISION,60
3a7ab06f-a094-5767-b2d0-61f1dceed4c1,DARKVISION,60
549be1bb-de18-58a1-898c-0b112ef15332,DARKVISION,60
da6bee9d-ded1-5cfa-8348-a21043f6adf9,BLINDSIGHT,30
5741bdc0-01af-5fdf-938b-d977ca6f514d,DARKVISION,60
cab786f8-266c-5d51-87eb-518eb632d617,BLINDSIGHT,10
cab786f8-266c-5d51-87eb-518eb632d617,DARKVISION,60
0ec3a98e-0d40-5fba-933c-a05c59487953,DARKVISION,60
f0daad33-3bad-5c96-9515-fbe749874b41,DARKVISION,120
45d59fb4-87ea-5101-88e4-8749239b5fc1,DARKVISION,60
bdbf6f10-fb16-5ce7-99cd-f74fdec699f3,DARKVISION,60
9f10001a-1443-5480-9792-f59d6ab56cc8,DARKVISION,60
7e11286d-f7aa-5d3b-9ad1-2da41f2f5c14,DARKVISION,150
6663817c-edf8-552e-8ede-f0d77e4d658a,DARKVISION,60
639dc600-5a69-58a8-ba9a-f9a49f36ae95,BLINDSIGHT,120
eac7706e-b667-5ac5-ae31-b3bf3e5c9bac,DARKVISION,120
3367bac2-faa5-5174-9acd-237dd9d9fbbf,DARKVISION,60
baafa8c2-3531-5793-a8d3-2c02e302903a,DARKVISION,60
6353a56e-4d51-5e4e-9815-7a47498e7ad7,DARKVISION,120
e5e42c51-2f6c-5283-ab41-83068f4a3436,DARKVISION,60
cfcdd6a4-3b89-53a6-9557-d06ca21a1946,TRUESIGHT,120
51deafbd-8649-5be8-bf4c-ea9984eb00f9,DARKVISION,60
ca4ebfe1-7875-527f-8849-3aed5c7f1257,DARKVISION,120
874246f2-ba2f-5948-add9-e11c8fa60fd9,TRUESIGHT,120
ff734998-0aad-5bc3-b979-d62e50842e2c,DARKVISION,60
2d12f026-9bcb-5cf9-8959-1f5d7d4dfac0,DARKVISION,60
cac1f74d-45d4-5314-abde-f8386a57304b,TRUESIGHT,120
4d26569e-6acf-582e-a1b0-d097e477ed7e,DARKVISION,150
63c2085a-f8fb-56a6-bd7a-7ec20b5e0b5d,DARKVISION,60
089d2b7c-87b1-5a9e-8561-0997f2e8dadb,DARKVISION,60
126bfcc3-bb22-5b98-9d99-805dc5254c26,DARKVISION,60
96eca42e-4260-5e69-b338-c26f8d3774a9,DARKVISION,60
50655a6b-f693-555d-afa2-b56c6339cb42,DARKVISION,60
34afcb0b-0b82-56bb-b819-1efb6a800708,DARKVISION,60
7b9fad12-53c1-5a08-85aa-df75b4b2e3f6,DARKVISION,60
ef32e688-948a-50df-8734-56c6e5720391,DARKVISION,60
74ea9d70-a5a1-5c65-8527-7e786bb6045e,TRUESIGHT,60
c165fa51-3abd-5b4d-a097-059ffbf588f4,TRUESIGHT,120
65484791-9b43-5d65-be3b-cbf65b4be9c5,DARKVISION,120
9dd8d1ff-7594-518e-9d12-2b93012eaa10,BLINDSIGHT,60
78c08956-5857-51c0-acfc-26dd812a1909,DARKVISION,60
50b05fc2-5b24-59c4-92c4-6151e86f42ed,DARKVISION,60
40a2a2bb-0e31-5d7f-a389-5b795ba869a8,DARKVISION,120
d54766b1-f3fe-52d9-8957-55829cd140cc,DARKVISION,60
344e7a03-e20a-5e8f-9d0b-fd14273b2f97,DARKVISION,60
1f6780e2-633d-523c-9ae4-6f74c4ca04bc,TRUESIGHT,120
d5c41de9-f969-5a3a-a98b-a355fc36b0a4,TRUESIGHT,120
6dca46b9-6593-51c7-9bb3-08dbb296e7ca,BLINDSIGHT,10
6dca46b9-6593-51c7-9bb3-08dbb296e7ca,DARKVISION,60
d0069fe4-1f7f-531e-969e-8e9f751cbb02,BLINDSIGHT,30
d0069fe4-1f7f-531e-969e-8e9f751cbb02,TREMORSENSE,60
8b4527f2-be0e-54a1-9a38-5c740f5be669,DARKVISION,120
952200fa-a33d-5e9a-9270-d875660a6e4a,TRUESIGHT,60
91ac15bc-bcfd-57a5-a6c9-e0a4593259ad,BLINDSIGHT,10
91ac15bc-bcfd-57a5-a6c9-e0a4593259ad,DARKVISION,60
198505b8-d56a-5b8a-b550-4a85af512f4f,BLINDSIGHT,30
198505b8-d56a-5b8a-b550-4a85af512f4f,DARKVISION,120
4f4517ac-a1f8-5b81-a64f-553d2b370d77,BLINDSIGHT,60
4f4517ac-a1f8-5b81-a64f-553d2b370d77,DARKVISION,120
ebe3fc0e-b274-5701-bbeb-0eff8a046873,BLINDSIGHT,60
ebe3fc0e-b274-5701-bbeb-0eff8a046873,DARKVISION,120
27b93787-51bc-5b70-930e-905c76c8a861,DARKVISION,60
27b93787-51bc-5b70-930e-905c76c8a861,TREMORSENSE,60
0faa36a0-cd97-54ca-936b-233cb939221d,DARKVISION,60
81db1a38-c86f-5383-9ea3-925094ab6155,DARKVISION,60
0de28e84-86cb-5d90-a0c8-2a51bfde1bf0,DARKVISION,120
255b5979-9d43-563c-804f-8340c1756bdf,DARKVISION,60
55029c8d-41ca-5898-b5bc-694c22431b93,DARKVISION,60
be513016-5033-51e9-a25d-d88133e41410,DARKVISION,60
8797172f-e535-53b2-b92a-51c9f014bb9c,BLINDSIGHT,60
e7044c07-d8e9-5da2-9307-aa80a82b2b84,BLINDSIGHT,10
e7044c07-d8e9-5da2-9307-aa80a82b2b84,DARKVISION,60
22b5678b-8fa5-5a6d-a7ec-bbe215df3d46,BLINDSIGHT,10
22b5678b-8fa5-5a6d-a7ec-bbe215df3d46,DARKVISION,60
ff19a367-ce85-57fd-87fa-8ce112039f79,BLINDSIGHT,30
ff19a367-ce85-57fd-87fa-8ce112039f79,DARKVISION,120
572aabd0-686e-5187-b72d-e9db3add7d7f,BLINDSIGHT,60
572aabd0-686e-5187-b72d-e9db3add7d7f,DARKVISION,120
61648b56-7b1e-50fb-9133-05264fd470c1,BLINDSIGHT,60
61648b56-7b1e-50fb-9133-05264fd470c1,DARKVISION,120
b925d03e-b635-5ff4-9a3a-55714f3801c8,DARKVISION,60
3894e974-6a37-5fe6-819f-34607281077b,DARKVISION,60
d6690be2-fe5d-5181-b5a2-a70d2f078524,DARKVISION,60
88e30d20-5c53-5362-ac06-23372004dcc2,TRUESIGHT,120
762c4171-6477-5706-b8ef-2d1882f9f0e7,DARKVISION,60
d9fa6de6-609b-500a-b12b-5d6facdc2db1,DARKVISION,60
e9b8bfaa-6730-5da9-a123-2ddc61ee9887,TRUESIGHT,120
5df859a8-4247-5372-811b-304e3921ff11,TRUESIGHT,120
7b035506-c08d-5e3b-9953-a27493b96e96,DARKVISION,60
92b71b91-ac6b-56d5-9de7-1eaff99c446c,DARKVISION,60
a1bfe89a-4d20-5fcb-a3b4-bb3fee18ae2f,DARKVISION,60
1e3d7463-9156-5de7-817a-663e0cbf79d2,DARKVISION,120
2befbad5-fc44-5196-925e-4aef0bc84a75,DARKVISION,120
2befbad5-fc44-5196-925e-4aef0bc84a75,TRUESIGHT,30
578daa8d-fc6b-5da1-a52f-fbc8b4d7ad22,DARKVISION,60
f01dc9ea-555e-51ff-a7f2-16d629f7d3e9,BLINDSIGHT,120
ae1563c8-0adc-544e-9f82-5da6cab34c17,DARKVISION,60
b1e3b533-ce3e-576e-b98e-4cdebe94d7d8,DARKVISION,60
631e533d-18b2-5a2f-8152-df17a92aea99,DARKVISION,60
f022f9a7-af46-5251-9eac-b532ad6704b2,DARKVISION,60
a628dc90-421d-5cd7-9394-f11ac9684481,DARKVISION,60
3a4c6071-45ce-544b-821c-32fa7b1db427,DARKVISION,120
069c23dc-d371-5360-9dcf-9567d7805c65,DARKVISION,120
3840708e-43c7-5649-a63f-c2fc7a0494c8,DARKVISION,60
f657ecb2-3549-5870-ba69-ba43eb1f9027,DARKVISION,60
cfa2ae81-694d-54b1-90f4-3f0ee7b7527c,DARKVISION,60
115165f3-4b3a-5dc8-ac74-cca8c02719c9,DARKVISION,60
4bad1953-be71-5018-bd30-ea4581d113bf,DARKVISION,60
e50a506e-d3b7-5d24-926e-e81e7546358d,BLINDSIGHT,10
e50a506e-d3b7-5d24-926e-e81e7546358d,DARKVISION,60
c5ae861c-ca16-5751-99f3-1cb1b5b4f951,BLINDSIGHT,30
c5ae861c-ca16-5751-99f3-1cb1b5b4f951,DARKVISION,120
42038caa-5299-5640-82b9-c0d6785a5f3a,BLINDSIGHT,60
42038caa-5299-5640-82b9-c0d6785a5f3a,DARKVISION,120
19675f2e-3466-545b-9347-ade58f3b61ff,BLINDSIGHT,60
19675f2e-3466-545b-9347-ade58f3b61ff,DARKVISION,120
a3d10ca4-e168-5342-b4d0-29abb40fb585,DARKVISION,60
a8a4704e-9528-54ea-8d2f-a56a6500efd9,DARKVISION,120
63f5ecf2-41ea-5191-bc47-dd0ff4d10b69,DARKVISION,60
2cfb606a-60ec-5937-8db4-7d404c2234dc,DARKVISION,60
437386d3-ad75-5add-b93c-95e08194955b,DARKVISION,120
940db73c-b87a-5957-b362-4dd008a8f48e,DARKVISION,60
940db73c-b87a-5957-b362-4dd008a8f48e,TREMORSENSE,60
16a54f39-cfd0-537b-b00e-9f569df859f9,DARKVISION,60
ff5d8236-515f-5ded-abaa-8977de7c767a,DARKVISION,60
3704d23d-4c5e-55dc-84eb-a74e032a47e3,DARKVISION,30
7e669169-90c6-5e3e-b505-9e4ff1e037bb,BLINDSIGHT,60
e8fa0610-fcd4-578b-a004-9b02f3e12e79,DARKVISION,60
8ad6b35d-fff5-56c8-baca-948e73b089d6,DARKVISION,60
b6f94207-b056-56fd-9747-762bbe4f62d1,DARKVISION,60
e183bc79-04bb-5372-9169-b047f0e7fcd6,DARKVISION,60
8ee1744b-2bf5-5117-9808-7ac72a68ca02,BLINDSIGHT,10
4d370c01-4309-5e7d-a5d9-d51320c84a17,BLINDSIGHT,30
027e374f-1431-505c-8ca2-061b30f0a547,DARKVISION,60
581ffc25-bb48-5abb-8d11-a0fd283cdd51,DARKVISION,60
4d0cc8d8-ecf9-56dd-9ede-83defb697727,DARKVISION,60
a3920a7b-d766-5442-b584-de6729fc059b,BLINDSIGHT,10
7a085fe5-878b-56af-a2e9-3f0fb62efc2d,DARKVISION,30
460f5a70-c348-5f39-92f1-37f1daea128f,DARKVISION,60
f6e2ab23-a44c-5809-8a57-569bf87665ab,BLINDSIGHT,120
d06d792a-0b72-5500-97c2-7a2734774638,BLINDSIGHT,30
75955c5b-486d-587d-b3a3-c3093ac273bf,BLINDSIGHT,10
d87be2e4-fb8e-5dd5-a4e7-76df0b0d9cad,BLINDSIGHT,30
2d5e9b1e-44d6-5725-bd4e-fb25c296e462,DARKVISION,90
6564e3d3-b0c6-5412-b3d6-cf949797b340,BLINDSIGHT,30
3aa55d3f-d417-5980-9403-85590374a7cd,DARKVISION,30
6973e0ef-9840-5b46-8352-b6ce443262b8,DARKVISION,60
aabb5741-b2ed-53fb-90c9-194eef10f36c,DARKVISION,60
1058ea9a-cdae-5a42-9cd6-426cacacd53a,DARKVISION,60
46ff34df-1bd3-5e91-a2bd-37960bea0a03,DARKVISION,60
475622ca-91c4-5069-99b6-59d4f6faae01,DARKVISION,120
24f1f770-8a07-548a-9483-3a4a57422c30,DARKVISION,60
4e913c2b-f884-5a7a-ba94-822c8cd7f92f,BLINDSIGHT,60
b781341f-53df-5351-adce-594339b75a60,BLINDSIGHT,60
8c3e18e9-fa7a-596d-8eab-eaa84a7a46cc,DARKVISION,60
f45f554c-214e-58ac-8db3-7023bf6d0dba,DARKVISION,60
611baf20-2499-5435-b163-35f131e23f34,BLINDSIGHT,10
1a4f6c0f-9861-5eea-8341-245614a44a1d,DARKVISION,60
ea14d920-c245-5a0a-9c31-5d070a772f22,DARKVISION,60
86f4e1dc-af44-5df4-af07-38e16b0d42e5,BLINDSIGHT,10
86f4e1dc-af44-5df4-af07-38e16b0d42e5,DARKVISION,60
0995e01e-9ad2-5e88-91e1-4d1256c81e0d,DARKVISION,60
905752d8-88ea-59fe-ac62-39fff35f001a,BLINDSIGHT,60
5aada601-7d74-5733-8653-303c5fc96510,DARKVISION,60
7cd129fc-6030-5d4d-8759-74aa10517bce,DARKVISION,90
65fde1c1-a4d6-5b21-b3f0-16725f2dd652,BLINDSIGHT,120
e9b826a1-4493-5478-8912-f83e238b3ae6,DARKVISION,60
8cab57c1-6781-50af-a20b-ae3413d3e924,DARKVISION,30
6f0d4325-784e-5e2f-bd7d-e3efc43aebb8,DARKVISION,60
d895b410-3c8d-5f9e-9b45-9bab36bc9df4,DARKVISION,30
3f8711de-c48a-5113-86be-61a2583856a5,DARKVISION,120
176f343f-7358-51f3-8a54-73b194b6f168,DARKVISION,60
c80fb495-a4ab-524c-bc2a-475519780036,DARKVISION,60
7b750e4f-bccc-5fed-9d8d-7043cd090cf7,DARKVISION,60
11d65c3a-8e54-5952-a6f2-eaff28758666,DARKVISION,30
94f473e4-9727-5279-8e28-ebe6374c7b99,BLINDSIGHT,30
6df7e48c-594b-55b7-b782-126e1cd6fe9a,DARKVISION,60
409b626c-a75e-5477-94b8-89e30104c5ca,BLINDSIGHT,10
6c1110ac-9efe-5ff8-9315-65bc7c24604a,DARKVISION,30
f23951e9-2ae5-5d59-a8b4-8645656eaf73,BLINDSIGHT,60
f97ba6a3-9c10-5b80-bc82-c1fb06994232,BLINDSIGHT,30
362e7590-8cfd-5e25-bb73-34828a95590c,DARKVISION,60
ce08d39e-2494-5328-a263-7a6dc8e07f2c,DARKVISION,30
1e267715-ad40-55b3-b727-2a0924acb21c,BLINDSIGHT,10
ecf3b3c2-b07f-5486-8d88-519737f4208e,DARKVISION,60
5b5d0992-3c70-5aba-80cd-02726d16b5b5,BLINDSIGHT,10
652faf9a-811c-5562-8d03-4bf487a694de,DARKVISION,60
5bf3ee90-3414-50f4-a444-904ba1153aab,DARKVISION,60
