id,created_at,updated_at,version,name,description,ordinal,vocation_id,subclass_id,vocation_level,activation,uses_reset
cad92050-df39-594d-a724-cc2f21d8dcdf,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Feral Instinct,Your instincts are so honed that you have Advantage on Initiative rolls.,10,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,7,PASSIVE,AT_WILL
5eea4b10-d2b1-5263-ab58-aa7f1ee4e3a1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Instinctive Pounce,"As part of the Bonus Action you take to enter your Rage, you can move up to half your Speed.",11,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,7,PASSIVE,AT_WILL
736a59ce-9035-53dd-8f07-623643161b78,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Brutal Strike,"If you use Reckless Attack, you can forgo any Advantage on one Strength-based attack roll of your choice on your turn. The chosen attack roll mustn't have Disadvantage. If the chosen attack roll hits, the target takes an extra 1d10 damage of the same type dealt by the weapon or Unarmed Strike, and you can cause one Brutal Strike effect of your choice. You have the following effect options.

Forceful Blow. The target is pushed 15 feet straight away from you. You can then move up to half your Speed straight toward the target without provoking Opportunity Attacks.

Hamstring Blow. The target's Speed is reduced by 15 feet until the start of your next turn. A target can be affected by only one Hamstring Blow at a time— the most recent one.",12,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,9,PASSIVE,AT_WILL
f5bb89f2-8880-52c3-9bd3-d700ddd25588,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Relentless Rage,"Your Rage can keep you fighting despite grievous wounds. If you drop to 0 Hit Points while your Rage is active and don't die outright, you can make a DC 10 Constitution saving throw. If you succeed, your Hit Points instead change to a number equal to twice your Barbarian level.

Each time you use this feature after the first, the DC increases by 5. When you finish a Short or Long Rest, the DC resets to 10.",13,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,11,PASSIVE,AT_WILL
06c31fb0-70bb-500e-b3eb-f7bad3f0d58e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Improved Brutal Strike,"You have honed new ways to attack furiously. The following effects are now among your Brutal Strike options.

Staggering Blow. The target has Disadvantage on the next saving throw it makes, and it can't make Opportunity Attacks until the start of your next turn.

Sundering Blow. Before the start of your next turn, the next attack roll made by another creature against the target gains a +5 bonus to the roll. An attack roll can gain only one Sundering Blow bonus.",14,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,13,PASSIVE,AT_WILL
85fc435d-d275-5450-8c9f-7bf1e0c1a7f7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Persistent Rage,"When you roll Initiative, you can regain all expended uses of Rage. After you regain uses of Rage in this way, you can't do so again until you finish a Long Rest.

In addition, your Rage is so fierce that it now lasts for 10 minutes without you needing to do anything to extend it from round to round. Your Rage ends early if you have the Unconscious condition (not just the Incapacitated condition) or don Heavy armor.",15,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,15,PASSIVE,AT_WILL
a330485d-fce0-531e-bbbb-a78624e884d2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Improved Brutal Strike,"The extra damage of your Brutal Strike increases to 2d10. In addition, you can use two different Brutal Strike effects whenever you use your Brutal Strike feature.",16,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,17,PASSIVE,AT_WILL
e5a382d8-eac9-5a58-9081-76d89a4a9a6f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Indomitable Might,"If your total for a Strength check or Strength saving throw is less than your Strength score, you can use that score in place of the total.",17,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,18,PASSIVE,AT_WILL
00da7f67-afa9-54f3-9bb2-bff2885978e4,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Epic Boon,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Irresistible Offense is recommended.",18,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,19,PASSIVE,AT_WILL
8d868e19-f7c9-5eef-a62e-c146ab78baa5,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Primal Champion,"You embody primal power. Your Strength and Constitution scores increase by 4, to a maximum of 25.",19,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,20,PASSIVE,AT_WILL
e8d8f594-1ff8-5ff5-89ef-39c1ad8e911e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Frenzy,"If you use Reckless Attack while your Rage is active, you deal extra damage to the first target you hit on your turn with a Strength-based attack. To determine the extra damage, roll a number of d6s equal to your Rage Damage bonus, and add them together. The damage has the same type as the weapon or Unarmed Strike used for the attack.",20,9f6a6acf-2d56-5990-9e11-65ad14cc0724,da2a1d48-ef45-5ea9-bba8-7e7579e0805a,3,PASSIVE,AT_WILL
b532ae1c-26ed-55be-bffe-eb8fbeabeb0b,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Mindless Rage,"You have Immunity to the Charmed and Frightened conditions while your Rage is active. If you're Charmed or Frightened when you enter your Rage, the condition ends on you.",21,9f6a6acf-2d56-5990-9e11-65ad14cc0724,da2a1d48-ef45-5ea9-bba8-7e7579e0805a,6,PASSIVE,AT_WILL
9c866890-bf58-50ab-a693-aa70df1661cd,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Retaliation,"When you take damage from a creature that is within 5 feet of you, you can take a Reaction to make one melee attack against that creature, using a weapon or an Unarmed Strike.",22,9f6a6acf-2d56-5990-9e11-65ad14cc0724,da2a1d48-ef45-5ea9-bba8-7e7579e0805a,10,PASSIVE,AT_WILL
30840249-24f4-59a0-8375-320d87a71eb8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Intimidating Presence,"As a Bonus Action, you can strike terror into others with your menacing presence and primal power. When you do so, each creature of your choice in a 30-foot Emanation originating from you must make a Wisdom saving throw (DC 8 plus your Strength modifier and Proficiency Bonus). On a failed save, a creature has the Frightened condition for 1 minute. At the end of each of the Frightened creature's turns, the creature repeats the save, ending the effect on itself on a success.

Once you use this feature, you can't use it again until you finish a Long Rest unless you expend a use of your Rage (no action required) to restore your use of it.",23,9f6a6acf-2d56-5990-9e11-65ad14cc0724,da2a1d48-ef45-5ea9-bba8-7e7579e0805a,14,PASSIVE,AT_WILL
4cf4c06c-c426-530d-83b2-5770c9e8269f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Bardic Inspiration,"You can supernaturally inspire others through words, music, or dance. This inspiration is represented by your Bardic Inspiration die, which is a d6.

Using Bardic Inspiration. As a Bonus Action, you can inspire another creature within 60 feet of yourself who can see or hear you. That creature gains

Prepared  ——Spell Slots per Spell Level——
Cantrips  Spells  1  2  3  4  5  6  7  8  9
2  4  2 — — — — — — — —
2  5  3 — — — — — — — —
2  6  4  2 — — — — — — —
3  7  4  3 — — — — — — —
3  9  4  3  2 — — — — — —
3  10  4  3  3 — — — — — —
3  11  4  3  3  1 — — — — —
3  12  4  3  3  2 — — — — —
3  14  4  3  3  3  1 — — — —
4  15  4  3  3  3  2 — — — —
4  16  4  3  3  3  2  1 — — —
4  16  4  3  3  3  2  1 — — —
4  17  4  3  3  3  2  1  1 — —
4  17  4  3  3  3  2  1  1 — —
4  18  4  3  3  3  2  1  1  1 —
4  18  4  3  3  3  2  1  1  1 —
4  19  4  3  3  3  2  1  1  1  1
4  20  4  3  3  3  3  1  1  1  1
4  21  4  3  3  3  3  2  1  1  1
4  22  4  3  3  3  3  2  2  1  1

one of your Bardic Inspiration dice. A creature can have only one Bardic Inspiration die at a time.

Once within the next hour when the creature fails a D20 Test, the creature can roll the Bardic Inspiration die and add the number rolled to the d20, potentially turning the failure into a success. A Bardic Inspiration die is expended when it's rolled.

Number of Uses. You can confer a Bardic Inspiration die a number of times equal to your Charisma modifier (minimum of once), and you regain all expended uses when you finish a Long Rest.

At Higher Levels. Your Bardic Inspiration die changes when you reach certain Bard levels, as shown in the Bardic Die column of the Bard Features table. The die becomes a d8 at level 5, a d10 at level 10, and a d12 at level 15.",0,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,1,PASSIVE,AT_WILL
85f0e3dc-610a-5139-a541-9ad97a4d1f48,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Spellcasting,"You have learned to cast spells through your bardic arts. See ""Spells"" for the rules on spellcasting. The information below details how you use those rules with Bard spells, which appear in the Bard spell list later in the class's description. Cantrips. You know two cantrips of your choice from the Bard spell list. Dancing Lights and Vicious Mockery are recommended.

Whenever you gain a Bard level, you can replace one of your cantrips with another cantrip of your choice from the Bard spell list.

When you reach Bard levels 4 and 10, you learn another cantrip of your choice from the Bard spell list, as shown in the Cantrips column of the Bard Features table.

Spell Slots. The Bard Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a Long Rest.

Prepared Spells of Level 1+. You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the Bard spell list. Charm Person, Color Spray, Dissonant Whispers, and Healing Word are recommended.

The number of spells on your list increases as you gain Bard levels, as shown in the Prepared Spells column of the Bard Features table. Whenever that number increases, choose additional spells from the Bard spell list until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Bard, your list of prepared spells can include six spells of levels 1 and 2 in any combination.

If another Bard feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Bard spells for you.

Changing Your Prepared Spells. Whenever you gain a Bard level, you can replace one spell on your list with another Bard spell for which you have spell slots.

Spellcasting Ability. Charisma is your spellcasting ability for your Bard spells.

Spellcasting Focus. You can use a Musical Instrument as a Spellcasting Focus for your Bard spells.",1,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,1,PASSIVE,AT_WILL
2bac56b4-2736-5b59-a9ed-baf72932b17f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Expertise,"You gain Expertise (see ""Rules Glossary"") in two of your skill proficiencies of your choice. Performance and Persuasion are recommended if you have proficiency in them.

At Bard level 9, you gain Expertise in two more of your skill proficiencies of your choice.",2,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,2,PASSIVE,AT_WILL
3a75a36a-3992-56db-a90f-15acae938a7d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Jack of All Trades,"You can add half your Proficiency Bonus (round down) to any ability check you make that uses a skill proficiency you lack and that doesn't otherwise use your Proficiency Bonus.

For example, if you make a Strength (Athletics) check and lack Athletics proficiency, you can add half your Proficiency Bonus to the check.",3,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,2,PASSIVE,AT_WILL
36ddf899-9bf4-585f-95c0-f53c62fa8011,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Bard Subclass,"You gain a Bard subclass of your choice. The College of Lore subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Bard levels. For the rest of your career, you gain each of your subclass's features that are of your Bard level or lower.",4,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,3,PASSIVE,AT_WILL
4b67a0c3-3c6d-547a-9365-70572be1fd98,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Ability Score Improvement,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Bard levels 8, 12, and 16.",5,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,4,PASSIVE,AT_WILL
c42aa48a-8f1d-54d9-9aad-cb1ff83a506a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Font of Inspiration,"You now regain all your expended uses of Bardic Inspiration when you finish a Short or Long Rest.

In addition, you can expend a spell slot (no action required) to regain one expended use of Bardic Inspiration.",6,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,5,PASSIVE,AT_WILL
6d2e595a-e6f7-5371-90a2-f7fe9113ecef,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Countercharm,"You can use musical notes or words of power to disrupt mind-influencing effects. If you or a creature within 30 feet of you fails a saving throw against an effect that applies the Charmed or Frightened condition, you can take a Reaction to cause the save to be rerolled, and the new roll has Advantage.",7,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,7,PASSIVE,AT_WILL
fa1a044d-ba81-5c40-9bb7-4280328e68c2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Magical Secrets,"You've learned secrets from various magical traditions. Whenever you reach a Bard level (including this level) and the Prepared Spells number in the Bard Features table increases, you can choose any of your new prepared spells from the Bard, Cleric, Druid, and Wizard spell lists, and the chosen spells count as Bard spells for you (see a class's section for its spell list). In addition, whenever you replace a spell prepared for this class, you can replace it with a spell from those lists.",8,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,10,PASSIVE,AT_WILL
685540b8-0525-55b8-97ce-971a95d15a1d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Superior Inspiration,"When you roll Initiative, you regain expended uses of Bardic Inspiration until you have two if you have fewer than that.",9,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,18,PASSIVE,AT_WILL
85269b7c-b423-5441-91e6-7fdd2812a5e0,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Epic Boon,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Spell Recall is recommended.",10,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,19,PASSIVE,AT_WILL
ecdde924-57d6-5b06-be98-81b62603b5b4,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Words of Creation,"You have mastered two of the Words of Creation: the words of life and death. You therefore always have the Power Word Heal and Power Word Kill spells prepared. When you cast either spell, you can target a second creature with it if that creature is within 10 feet of the first target.",11,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NULL,20,PASSIVE,AT_WILL
565f673a-a9e8-57e2-93b0-e8cf6dd8b7bb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Bonus Proficiencies,You gain proficiency with three skills of your choice.,12,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,bb6a1fe0-4123-52a8-a565-c76e876c250a,3,PASSIVE,AT_WILL
e14ca986-804b-54a2-b4c8-e9564ed3a2c5,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Cutting Words,"You learn to use your wit to supernaturally distract, confuse, and otherwise sap the confidence and competence of others. When a creature that you can see within 60 feet of yourself makes a damage roll or succeeds on an ability check or attack roll, you can take a Reaction to expend one use of your Bardic Inspiration; roll your Bardic Inspiration die, and subtract the number rolled from the creature's roll, reducing the damage or potentially turning the success into a failure.",13,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,bb6a1fe0-4123-52a8-a565-c76e876c250a,3,PASSIVE,AT_WILL
08ef5b96-b9c5-503c-8094-c830bce5f6cb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Magical Discoveries,"You learn two spells of your choice. These spells can come from the Cleric, Druid, or Wizard spell list or any combination thereof (see a class's section for its spell list). A spell you choose must be a cantrip or a spell for which you have spell slots, as shown in the Bard Features table.

You always have the chosen spells prepared, and whenever you gain a Bard level, you can replace one of the spells with another spell that meets these requirements.",14,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,bb6a1fe0-4123-52a8-a565-c76e876c250a,6,PASSIVE,AT_WILL
bb6d0043-a7ff-548e-8dae-265ad6583f7d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Peerless Skill,"When you make an ability check or attack roll and fail, you can expend one use of Bardic Inspiration; roll the Bardic Inspiration die, and add the number rolled to the d20, potentially turning a failure into a success. On a failure, the Bardic Inspiration isn't expended.",15,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,bb6a1fe0-4123-52a8-a565-c76e876c250a,14,PASSIVE,AT_WILL
097dc219-b064-5fa4-b9e5-32a283ef22e8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Spellcasting,"You have learned to cast spells through prayer and meditation. See ""Spells"" for the rules on spellcasting. The information below details how you use those rules with Cleric spells, which appear on the Cleric spell list later in the class's description. Cantrips. You know three cantrips of your choice from the Cleric spell list. Guidance, Sacred Flame, and Thaumaturgy are recommended.

Whenever you gain a Cleric level, you can replace one of your cantrips with another cantrip of your choice from the Cleric spell list.

——Spell Slots per Spell Level——
Prepared
Cantrips  Spells  1  2  3  4  5  6  7  8  9
3  4  2 — — — — — — — —
3  5  3 — — — — — — — —
3  6  4  2 — — — — — — —
4  7  4  3 — — — — — — —
4  9  4  3  2 — — — — — —
4  10  4  3  3 — — — — — —
4  11  4  3  3  1 — — — — —
4  12  4  3  3  2 — — — — —
4  14  4  3  3  3  1 — — — —
5  15  4  3  3  3  2 — — — —
5  16  4  3  3  3  2  1 — — —
5  16  4  3  3  3  2  1 — — —
5  17  4  3  3  3  2  1  1 — —
5  17  4  3  3  3  2  1  1 — —
5  18  4  3  3  3  2  1  1  1 —
5  18  4  3  3  3  2  1  1  1 —
5  19  4  3  3  3  2  1  1  1  1
5  20  4  3  3  3  3  1  1  1  1
5  21  4  3  3  3  3  2  1  1  1
5  22  4  3  3  3  3  2  2  1  1

When you reach Cleric levels 4 and 10, you learn another cantrip of your choice from the Cleric spell list, as shown in the Cantrips column of the Cleric Features table.

Spell Slots. The Cleric Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a Long Rest.

Prepared Spells of Level 1+. You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the Cleric spell list. Bless, Cure Wounds, Guiding Bolt, and Shield of Faith are recommended.

The number of spells on your list increases as you gain Cleric levels, as shown in the Prepared Spells column of the Cleric Features table. Whenever that number increases, choose additional spells from the Cleric spell list until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Cleric, your list of prepared spells can include six spells of levels 1 and 2 in any combination.

If another Cleric feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Cleric spells for you.

Changing Your Prepared Spells. Whenever you finish a Long Rest, you can change your list of prepared spells, replacing any of the spells there with other Cleric spells for which you have spell slots.

Spellcasting Ability. Wisdom is your spellcasting ability for your Cleric spells.

Spellcasting Focus. You can use a Holy Symbol as a Spellcasting Focus for your Cleric spells.",0,5a766548-3c4f-5273-89ee-11a90d1e7ce1,NULL,1,PASSIVE,AT_WILL
aee0a5b9-f1bf-5022-8378-33ca035c8697,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Divine Order,"You have dedicated yourself to one of the following sacred roles of your choice. Protector. Trained for battle, you gain proficiency with Martial weapons and training with Heavy armor. Thaumaturge. You know one extra cantrip from the Cleric spell list. In addition, your mystical connection to the divine gives you a bonus to your Intelligence (Arcana or Religion) checks. The bonus equals your Wisdom modifier (minimum of +1).",1,5a766548-3c4f-5273-89ee-11a90d1e7ce1,NULL,1,PASSIVE,AT_WILL
ed796d0a-1976-59bf-8fbc-203ee47f29e3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Channel Divinity,"You can channel divine energy directly from the Outer Planes to fuel magical effects. You start with two such effects: Divine Spark and Turn Undead, each of which is described below. Each time you use this class's Channel Divinity, choose which Channel Divinity effect from this class to create. You gain additional effect options at higher Cleric levels.

You can use this class's Channel Divinity twice. You regain one of its expended uses when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest. You gain additional uses when you reach certain Cleric levels, as shown in the Channel Divinity column of the Cleric Features table.

If a Channel Divinity effect requires a saving throw, the DC equals the spell save DC from this class's Spellcasting feature.

Divine Spark. As a Magic action, you point your Holy Symbol at another creature you can see within 30 feet of yourself and focus divine energy at it. Roll 1d8 and add your Wisdom modifier. You either restore Hit Points to the creature equal to that total or force the creature to make a Constitution saving throw. On a failed save, the creature takes Necrotic or Radiant damage (your choice) equal to that total. On a successful save, the creature takes half as much damage (round down).

You roll an additional d8 when you reach Cleric levels 7 (2d8), 13 (3d8), and 18 (4d8).

Turn Undead. As a Magic action, you present your Holy Symbol and censure Undead creatures. Each Undead of your choice within 30 feet of you must make a Wisdom saving throw. If the creature fails its save, it has the Frightened and Incapacitated conditions for 1 minute. For that duration, it tries to move as far from you as it can on its turns. This effect ends early on the creature if it takes any damage, if you have the Incapacitated condition, or if you die.",2,5a766548-3c4f-5273-89ee-11a90d1e7ce1,NULL,2,PASSIVE,AT_WILL
38f8236f-41cc-5bfb-b65e-8da39aa5fa67,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Cleric Subclass,"You gain a Cleric subclass of your choice. The Life Domain subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Cleric levels. For the rest of your career, you gain each of your subclass's features that are of your Cleric level or lower.",3,5a766548-3c4f-5273-89ee-11a90d1e7ce1,NULL,3,PASSIVE,AT_WILL
f737e471-d0f1-5e51-9549-40cacc574a49,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Ability Score Improvement,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Cleric levels 8, 12, and 16.",4,5a766548-3c4f-5273-89ee-11a90d1e7ce1,NULL,4,PASSIVE,AT_WILL
3e412d11-2a5e-566d-9b5e-5fb4983839c5,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Sear Undead,"Whenever you use Turn Undead, you can roll a number of d8s equal to your Wisdom modifier (minimum of 1d8) and add the rolls together. Each Undead that fails its saving throw against that use of Turn Undead takes Radiant damage equal to the roll's total. This damage doesn't end the turn effect.",5,5a766548-3c4f-5273-89ee-11a90d1e7ce1,NULL,5,PASSIVE,AT_WILL
83bf18ab-589f-5f62-b98f-6b25ed66349d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Blessed Strikes,"Divine power infuses you in battle. You gain one of the following options of your choice (if you get either option from a Cleric subclass in an older book, use only the option you choose for this feature).

Divine Strike. Once on each of your turns when you hit a creature with an attack roll using a weapon, you can cause the target to take an extra 1d8 Necrotic or Radiant damage (your choice).

Potent Spellcasting. Add your Wisdom modifier to the damage you deal with any Cleric cantrip.",6,5a766548-3c4f-5273-89ee-11a90d1e7ce1,NULL,7,PASSIVE,AT_WILL
7533afb8-d6c5-59aa-85d1-b44916fd1af8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Divine Intervention,"You can call on your deity or pantheon to intervene on your behalf. As a Magic action, choose any Cleric spell of level 5 or lower that doesn't require a Reaction to cast. As part of the same action, you cast that spell without expending a spell slot or needing Material components. You can't use this feature again until you finish a Long Rest.",7,5a766548-3c4f-5273-89ee-11a90d1e7ce1,NULL,10,PASSIVE,AT_WILL
