vocation_level_id,slot_level,slots
d43d11eb-9650-5d57-8e8c-016a5e5a5cc0,7,1
d43d11eb-9650-5d57-8e8c-016a5e5a5cc0,8,1
e4099e40-84e5-514d-9b44-593bd229def5,1,4
e4099e40-84e5-514d-9b44-593bd229def5,2,3
e4099e40-84e5-514d-9b44-593bd229def5,3,3
e4099e40-84e5-514d-9b44-593bd229def5,4,3
e4099e40-84e5-514d-9b44-593bd229def5,5,2
e4099e40-84e5-514d-9b44-593bd229def5,6,1
e4099e40-84e5-514d-9b44-593bd229def5,7,1
e4099e40-84e5-514d-9b44-593bd229def5,8,1
e4099e40-84e5-514d-9b44-593bd229def5,9,1
f644e23c-e01c-575a-ac99-f6fa352625d3,1,4
f644e23c-e01c-575a-ac99-f6fa352625d3,2,3
f644e23c-e01c-575a-ac99-f6fa352625d3,3,3
f644e23c-e01c-575a-ac99-f6fa352625d3,4,3
f644e23c-e01c-575a-ac99-f6fa352625d3,5,3
f644e23c-e01c-575a-ac99-f6fa352625d3,6,1
f644e23c-e01c-575a-ac99-f6fa352625d3,7,1
f644e23c-e01c-575a-ac99-f6fa352625d3,8,1
f644e23c-e01c-575a-ac99-f6fa352625d3,9,1
c35caab7-2c95-592b-8d7c-ba0ad24fa335,1,4
c35caab7-2c95-592b-8d7c-ba0ad24fa335,2,3
c35caab7-2c95-592b-8d7c-ba0ad24fa335,3,3
c35caab7-2c95-592b-8d7c-ba0ad24fa335,4,3
c35caab7-2c95-592b-8d7c-ba0ad24fa335,5,3
c35caab7-2c95-592b-8d7c-ba0ad24fa335,6,2
c35caab7-2c95-592b-8d7c-ba0ad24fa335,7,1
c35caab7-2c95-592b-8d7c-ba0ad24fa335,8,1
c35caab7-2c95-592b-8d7c-ba0ad24fa335,9,1
a7bc1aa9-7644-5f72-8897-228b3f5362c8,1,4
a7bc1aa9-7644-5f72-8897-228b3f5362c8,2,3
a7bc1aa9-7644-5f72-8897-228b3f5362c8,3,3
a7bc1aa9-7644-5f72-8897-228b3f5362c8,4,3
a7bc1aa9-7644-5f72-8897-228b3f5362c8,5,3
a7bc1aa9-7644-5f72-8897-228b3f5362c8,6,2
a7bc1aa9-7644-5f72-8897-228b3f5362c8,7,2
a7bc1aa9-7644-5f72-8897-228b3f5362c8,8,1
a7bc1aa9-7644-5f72-8897-228b3f5362c8,9,1
0dd85643-57f4-59f2-afdb-6f54c18feecf,1,2
1dd332ec-6e4a-50c4-b0ff-f0421f5b48bf,1,3
82717577-dee8-5ea6-8f1b-436e27c7b6c4,1,4
82717577-dee8-5ea6-8f1b-436e27c7b6c4,2,2
cde1aa54-7fc8-5198-b6ea-d90de4de102f,1,4
cde1aa54-7fc8-5198-b6ea-d90de4de102f,2,3
1ec1b791-b21a-5a77-8691-0d2a2c43ca7c,1,4
1ec1b791-b21a-5a77-8691-0d2a2c43ca7c,2,3
1ec1b791-b21a-5a77-8691-0d2a2c43ca7c,3,2
f5b8d59a-7a1f-543f-aec6-95b31ca7a101,1,4
f5b8d59a-7a1f-543f-aec6-95b31ca7a101,2,3
f5b8d59a-7a1f-543f-aec6-95b31ca7a101,3,3
8e71e368-d223-5f62-ba28-82bbb78f020d,1,4
8e71e368-d223-5f62-ba28-82bbb78f020d,2,3
8e71e368-d223-5f62-ba28-82bbb78f020d,3,3
8e71e368-d223-5f62-ba28-82bbb78f020d,4,1
76834106-ae8e-5c15-bad6-3cd86ee612b0,1,4
76834106-ae8e-5c15-bad6-3cd86ee612b0,2,3
76834106-ae8e-5c15-bad6-3cd86ee612b0,3,3
76834106-ae8e-5c15-bad6-3cd86ee612b0,4,2
4415c846-97d5-5a75-8ec3-e9f4ccff3782,1,4
4415c846-97d5-5a75-8ec3-e9f4ccff3782,2,3
4415c846-97d5-5a75-8ec3-e9f4ccff3782,3,3
4415c846-97d5-5a75-8ec3-e9f4ccff3782,4,3
4415c846-97d5-5a75-8ec3-e9f4ccff3782,5,1
b4cb7c81-ced3-5484-8185-190e3cef7c80,1,4
b4cb7c81-ced3-5484-8185-190e3cef7c80,2,3
b4cb7c81-ced3-5484-8185-190e3cef7c80,3,3
b4cb7c81-ced3-5484-8185-190e3cef7c80,4,3
b4cb7c81-ced3-5484-8185-190e3cef7c80,5,2
7b4e4ce4-8b65-5c16-b6d7-75b90277b494,1,4
7b4e4ce4-8b65-5c16-b6d7-75b90277b494,2,3
7b4e4ce4-8b65-5c16-b6d7-75b90277b494,3,3
7b4e4ce4-8b65-5c16-b6d7-75b90277b494,4,3
7b4e4ce4-8b65-5c16-b6d7-75b90277b494,5,2
7b4e4ce4-8b65-5c16-b6d7-75b90277b494,6,1
4608c87d-ca7b-5d3b-b0be-d286bd40e673,1,4
4608c87d-ca7b-5d3b-b0be-d286bd40e673,2,3
4608c87d-ca7b-5d3b-b0be-d286bd40e673,3,3
4608c87d-ca7b-5d3b-b0be-d286bd40e673,4,3
4608c87d-ca7b-5d3b-b0be-d286bd40e673,5,2
4608c87d-ca7b-5d3b-b0be-d286bd40e673,6,1
66a9b9a1-8bb5-546c-bae2-ec978e0496f3,1,4
66a9b9a1-8bb5-546c-bae2-ec978e0496f3,2,3
66a9b9a1-8bb5-546c-bae2-ec978e0496f3,3,3
66a9b9a1-8bb5-546c-bae2-ec978e0496f3,4,3
66a9b9a1-8bb5-546c-bae2-ec978e0496f3,5,2
66a9b9a1-8bb5-546c-bae2-ec978e0496f3,6,1
66a9b9a1-8bb5-546c-bae2-ec978e0496f3,7,1
03fcd124-f7f1-5589-b9dd-aa9ba4752c67,1,4
03fcd124-f7f1-5589-b9dd-aa9ba4752c67,2,3
03fcd124-f7f1-5589-b9dd-aa9ba4752c67,3,3
03fcd124-f7f1-5589-b9dd-aa9ba4752c67,4,3
03fcd124-f7f1-5589-b9dd-aa9ba4752c67,5,2
03fcd124-f7f1-5589-b9dd-aa9ba4752c67,6,1
03fcd124-f7f1-5589-b9dd-aa9ba4752c67,7,1
1ad3dde9-0cf9-53a6-836c-f1a1d4d1f0dd,1,4
1ad3dde9-0cf9-53a6-836c-f1a1d4d1f0dd,2,3
1ad3dde9-0cf9-53a6-836c-f1a1d4d1f0dd,3,3
1ad3dde9-0cf9-53a6-836c-f1a1d4d1f0dd,4,3
1ad3dde9-0cf9-53a6-836c-f1a1d4d1f0dd,5,2
1ad3dde9-0cf9-53a6-836c-f1a1d4d1f0dd,6,1
1ad3dde9-0cf9-53a6-836c-f1a1d4d1f0dd,7,1
1ad3dde9-0cf9-53a6-836c-f1a1d4d1f0dd,8,1
fe6b2c02-9c45-5617-a281-aac0075c4fc6,1,4
fe6b2c02-9c45-5617-a281-aac0075c4fc6,2,3
fe6b2c02-9c45-5617-a281-aac0075c4fc6,3,3
fe6b2c02-9c45-5617-a281-aac0075c4fc6,4,3
fe6b2c02-9c45-5617-a281-aac0075c4fc6,5,2
fe6b2c02-9c45-5617-a281-aac0075c4fc6,6,1
fe6b2c02-9c45-5617-a281-aac0075c4fc6,7,1
fe6b2c02-9c45-5617-a281-aac0075c4fc6,8,1
b4592be4-5f99-58d8-a9d3-f642dcca50b2,1,4
b4592be4-5f99-58d8-a9d3-f642dcca50b2,2,3
b4592be4-5f99-58d8-a9d3-f642dcca50b2,3,3
b4592be4-5f99-58d8-a9d3-f642dcca50b2,4,3
b4592be4-5f99-58d8-a9d3-f642dcca50b2,5,2
b4592be4-5f99-58d8-a9d3-f642dcca50b2,6,1
b4592be4-5f99-58d8-a9d3-f642dcca50b2,7,1
b4592be4-5f99-58d8-a9d3-f642dcca50b2,8,1
b4592be4-5f99-58d8-a9d3-f642dcca50b2,9,1
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,1,4
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,2,3
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,3,3
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,4,3
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,5,3
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,6,1
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,7,1
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,8,1
5a0435b8-4ca6-5325-a335-5de3a17dcc0f,9,1
975cd75c-d746-5836-bb3a-d88f1673be2b,1,4
975cd75c-d746-5836-bb3a-d88f1673be2b,2,3
975cd75c-d746-5836-bb3a-d88f1673be2b,3,3
975cd75c-d746-5836-bb3a-d88f1673be2b,4,3
975cd75c-d746-5836-bb3a-d88f1673be2b,5,3
975cd75c-d746-5836-bb3a-d88f1673be2b,6,2
975cd75c-d746-5836-bb3a-d88f1673be2b,7,1
975cd75c-d746-5836-bb3a-d88f1673be2b,8,1
975cd75c-d746-5836-bb3a-d88f1673be2b,9,1
4992e6ef-505e-59ab-a69f-ea21e71c19ba,1,4
4992e6ef-505e-59ab-a69f-ea21e71c19ba,2,3
4992e6ef-505e-59ab-a69f-ea21e71c19ba,3,3
4992e6ef-505e-59ab-a69f-ea21e71c19ba,4,3
4992e6ef-505e-59ab-a69f-ea21e71c19ba,5,3
4992e6ef-505e-59ab-a69f-ea21e71c19ba,6,2
4992e6ef-505e-59ab-a69f-ea21e71c19ba,7,2
4992e6ef-505e-59ab-a69f-ea21e71c19ba,8,1
4992e6ef-505e-59ab-a69f-ea21e71c19ba,9,1
827385ae-314e-58ff-9c46-60ad9e1ba263,1,2
784bc568-c77f-53b7-9556-2f433ebf7221,1,2
d20c2427-4c34-5832-b5f7-74754b43d3ac,1,3
8a7461ea-0673-5bb9-b48e-7bc8073c803a,1,3
2dbf5c9d-8c92-5145-8e80-32c16c6fdf7f,1,4
2dbf5c9d-8c92-5145-8e80-32c16c6fdf7f,2,2
cf5af0d5-2fdb-5fdc-bf50-674efbed0d9f,1,4
cf5af0d5-2fdb-5fdc-bf50-674efbed0d9f,2,2
8f8aae77-afe8-549f-a21e-4662a3d90489,1,4
8f8aae77-afe8-549f-a21e-4662a3d90489,2,3
4b2329df-3f76-5140-a80c-2ab22ce3c8a2,1,4
4b2329df-3f76-5140-a80c-2ab22ce3c8a2,2,3
bb8dab8a-6045-50ce-b036-41d11ea2d0e5,1,4
bb8dab8a-6045-50ce-b036-41d11ea2d0e5,2,3
bb8dab8a-6045-50ce-b036-41d11ea2d0e5,3,2
173f8d37-2ebd-551b-8445-9bdc48095ba0,1,4
173f8d37-2ebd-551b-8445-9bdc48095ba0,2,3
173f8d37-2ebd-551b-8445-9bdc48095ba0,3,2
83945dd1-acca-576d-a831-32d4ca93b113,1,4
83945dd1-acca-576d-a831-32d4ca93b113,2,3
83945dd1-acca-576d-a831-32d4ca93b113,3,3
3280f903-0736-56db-b32a-db2729feedb4,1,4
3280f903-0736-56db-b32a-db2729feedb4,2,3
3280f903-0736-56db-b32a-db2729feedb4,3,3
f5bc04a6-1bd1-5a2b-bdf8-51c687bd4d81,1,4
f5bc04a6-1bd1-5a2b-bdf8-51c687bd4d81,2,3
f5bc04a6-1bd1-5a2b-bdf8-51c687bd4d81,3,3
f5bc04a6-1bd1-5a2b-bdf8-51c687bd4d81,4,1
5b391856-c2b4-5130-863e-29de8303417c,1,4
5b391856-c2b4-5130-863e-29de8303417c,2,3
5b391856-c2b4-5130-863e-29de8303417c,3,3
5b391856-c2b4-5130-863e-29de8303417c,4,1
ff1cd6b2-6ad5-56f9-9f67-cf531b2fcf6e,1,4
ff1cd6b2-6ad5-56f9-9f67-cf531b2fcf6e,2,3
ff1cd6b2-6ad5-56f9-9f67-cf531b2fcf6e,3,3
ff1cd6b2-6ad5-56f9-9f67-cf531b2fcf6e,4,2
7aafb6fe-c4a7-51cb-9588-9d7bf10856f8,1,4
7aafb6fe-c4a7-51cb-9588-9d7bf10856f8,2,3
7aafb6fe-c4a7-51cb-9588-9d7bf10856f8,3,3
7aafb6fe-c4a7-51cb-9588-9d7bf10856f8,4,2
bf77994e-c669-59ab-8a36-fbfd16349d84,1,4
bf77994e-c669-59ab-8a36-fbfd16349d84,2,3
bf77994e-c669-59ab-8a36-fbfd16349d84,3,3
bf77994e-c669-59ab-8a36-fbfd16349d84,4,3
bf77994e-c669-59ab-8a36-fbfd16349d84,5,1
1dcf0a06-81c2-57b4-854d-e54d5d7c0347,1,4
1dcf0a06-81c2-57b4-854d-e54d5d7c0347,2,3
1dcf0a06-81c2-57b4-854d-e54d5d7c0347,3,3
1dcf0a06-81c2-57b4-854d-e54d5d7c0347,4,3
1dcf0a06-81c2-57b4-854d-e54d5d7c0347,5,1
c7568d2d-2473-595e-83f5-64d9b3c09071,1,4
c7568d2d-2473-595e-83f5-64d9b3c09071,2,3
c7568d2d-2473-595e-83f5-64d9b3c09071,3,3
c7568d2d-2473-595e-83f5-64d9b3c09071,4,3
c7568d2d-2473-595e-83f5-64d9b3c09071,5,2
57a1b108-8692-5575-b2a4-4c80b9d0e2f1,1,4
57a1b108-8692-5575-b2a4-4c80b9d0e2f1,2,3
57a1b108-8692-5575-b2a4-4c80b9d0e2f1,3,3
57a1b108-8692-5575-b2a4-4c80b9d0e2f1,4,3
57a1b108-8692-5575-b2a4-4c80b9d0e2f1,5,2
a56f85a9-e11e-57f1-a4d6-683ca13d6d86,1,2
21d02c6a-a8cf-54ba-afdd-9013353c7060,1,2
fddaec75-7bf3-5a2e-bf92-d8f036e22ff2,1,3
6f611a7e-3e06-50e6-85dd-94137d462a88,1,3
534ddd99-e748-531b-87a7-c919d08256ef,1,4
534ddd99-e748-531b-87a7-c919d08256ef,2,2
756ef38d-1797-5ca2-a56f-3408fed329fc,1,4
756ef38d-1797-5ca2-a56f-3408fed329fc,2,2
b0b7c41e-1471-50c5-b0fa-6b99581c2fd9,1,4
b0b7c41e-1471-50c5-b0fa-6b99581c2fd9,2,3
4bfe7243-aa67-5a6a-a484-c91edbd5cfb7,1,4
4bfe7243-aa67-5a6a-a484-c91edbd5cfb7,2,3
a76db026-6ef1-54f6-b68f-17baabc51615,1,4
a76db026-6ef1-54f6-b68f-17baabc51615,2,3
a76db026-6ef1-54f6-b68f-17baabc51615,3,2
4360fb43-6fc7-528d-bea4-9c72498f317f,1,4
4360fb43-6fc7-528d-bea4-9c72498f317f,2,3
4360fb43-6fc7-528d-bea4-9c72498f317f,3,2
440da70d-dc3c-5e13-9021-b8bcd0495195,1,4
440da70d-dc3c-5e13-9021-b8bcd0495195,2,3
440da70d-dc3c-5e13-9021-b8bcd0495195,3,3
29ffb1e8-a451-51e1-a796-cabb36a785de,1,4
29ffb1e8-a451-51e1-a796-cabb36a785de,2,3
29ffb1e8-a451-51e1-a796-cabb36a785de,3,3
d41a6341-3afd-5fc9-87fc-b76791ca816e,1,4
d41a6341-3afd-5fc9-87fc-b76791ca816e,2,3
d41a6341-3afd-5fc9-87fc-b76791ca816e,3,3
d41a6341-3afd-5fc9-87fc-b76791ca816e,4,1
581d5c25-89d6-5b5e-8671-ee92819caa15,1,4
581d5c25-89d6-5b5e-8671-ee92819caa15,2,3
581d5c25-89d6-5b5e-8671-ee92819caa15,3,3
581d5c25-89d6-5b5e-8671-ee92819caa15,4,1
e3b3dd3b-8559-5c15-a7e8-c81a7e5521f5,1,4
e3b3dd3b-8559-5c15-a7e8-c81a7e5521f5,2,3
e3b3dd3b-8559-5c15-a7e8-c81a7e5521f5,3,3
e3b3dd3b-8559-5c15-a7e8-c81a7e5521f5,4,2
e18b7fa3-c40b-5657-a005-1f6b9c1dba55,1,4
e18b7fa3-c40b-5657-a005-1f6b9c1dba55,2,3
e18b7fa3-c40b-5657-a005-1f6b9c1dba55,3,3
e18b7fa3-c40b-5657-a005-1f6b9c1dba55,4,2
8e00facc-02ec-5632-88af-3ffcb91d5dd6,1,4
8e00facc-02ec-5632-88af-3ffcb91d5dd6,2,3
8e00facc-02ec-5632-88af-3ffcb91d5dd6,3,3
8e00facc-02ec-5632-88af-3ffcb91d5dd6,4,3
8e00facc-02ec-5632-88af-3ffcb91d5dd6,5,1
e2b9aa26-08e5-538c-98e2-cbd5a211d831,1,4
e2b9aa26-08e5-538c-98e2-cbd5a211d831,2,3
e2b9aa26-08e5-538c-98e2-cbd5a211d831,3,3
e2b9aa26-08e5-538c-98e2-cbd5a211d831,4,3
e2b9aa26-08e5-538c-98e2-cbd5a211d831,5,1
2581d3b1-dae7-55c7-9dac-f7bdeac3ea19,1,4
2581d3b1-dae7-55c7-9dac-f7bdeac3ea19,2,3
2581d3b1-dae7-55c7-9dac-f7bdeac3ea19,3,3
2581d3b1-dae7-55c7-9dac-f7bdeac3ea19,4,3
2581d3b1-dae7-55c7-9dac-f7bdeac3ea19,5,2
91018bfe-8386-57fb-8d24-305cc3804823,1,4
91018bfe-8386-57fb-8d24-305cc3804823,2,3
91018bfe-8386-57fb-8d24-305cc3804823,3,3
91018bfe-8386-57fb-8d24-305cc3804823,4,3
