vocation_id,skill
5a766548-3c4f-5273-89ee-11a90d1e7ce1,RELIGION
d328bebd-d404-53ab-a8e1-30020cfac6e6,ANIMAL_HANDLING
d328bebd-d404-53ab-a8e1-30020cfac6e6,ARCANA
d328bebd-d404-53ab-a8e1-30020cfac6e6,INSIGHT
d328bebd-d404-53ab-a8e1-30020cfac6e6,MEDICINE
d328bebd-d404-53ab-a8e1-30020cfac6e6,NATURE
d328bebd-d404-53ab-a8e1-30020cfac6e6,PERCEPTION
d328bebd-d404-53ab-a8e1-30020cfac6e6,RELIGION
d328bebd-d404-53ab-a8e1-30020cfac6e6,SURVIVAL
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,ACROBATICS
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,ANIMAL_HANDLING
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,ATHLETICS
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,HISTORY
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,INSIGHT
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,INTIMIDATION
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,PERCEPTION
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,PERSUASION
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,SURVIVAL
29f83bd3-fe5f-5fa3-889f-c685c82ea177,ACROBATICS
29f83bd3-fe5f-5fa3-889f-c685c82ea177,ATHLETICS
29f83bd3-fe5f-5fa3-889f-c685c82ea177,HISTORY
29f83bd3-fe5f-5fa3-889f-c685c82ea177,INSIGHT
29f83bd3-fe5f-5fa3-889f-c685c82ea177,RELIGION
29f83bd3-fe5f-5fa3-889f-c685c82ea177,STEALTH
eeb719a0-134e-5484-837c-c2ca360facaf,ATHLETICS
eeb719a0-134e-5484-837c-c2ca360facaf,INSIGHT
eeb719a0-134e-5484-837c-c2ca360facaf,INTIMIDATION
eeb719a0-134e-5484-837c-c2ca360facaf,MEDICINE
eeb719a0-134e-5484-837c-c2ca360facaf,PERSUASION
eeb719a0-134e-5484-837c-c2ca360facaf,RELIGION
bfb29762-cbb4-532e-a82f-54808c7e209d,ANIMAL_HANDLING
bfb29762-cbb4-532e-a82f-54808c7e209d,ATHLETICS
bfb29762-cbb4-532e-a82f-54808c7e209d,INSIGHT
bfb29762-cbb4-532e-a82f-54808c7e209d,INVESTIGATION
bfb29762-cbb4-532e-a82f-54808c7e209d,NATURE
bfb29762-cbb4-532e-a82f-54808c7e209d,PERCEPTION
bfb29762-cbb4-532e-a82f-54808c7e209d,STEALTH
bfb29762-cbb4-532e-a82f-54808c7e209d,SURVIVAL
12b7133c-16a4-5974-93f6-f5a3b65bd670,ACROBATICS
12b7133c-16a4-5974-93f6-f5a3b65bd670,ATHLETICS
12b7133c-16a4-5974-93f6-f5a3b65bd670,DECEPTION
12b7133c-16a4-5974-93f6-f5a3b65bd670,INSIGHT
12b7133c-16a4-5974-93f6-f5a3b65bd670,INTIMIDATION
12b7133c-16a4-5974-93f6-f5a3b65bd670,INVESTIGATION
12b7133c-16a4-5974-93f6-f5a3b65bd670,PERCEPTION
12b7133c-16a4-5974-93f6-f5a3b65bd670,PERSUASION
12b7133c-16a4-5974-93f6-f5a3b65bd670,SLEIGHT_OF_HAND
12b7133c-16a4-5974-93f6-f5a3b65bd670,STEALTH
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,ARCANA
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,DECEPTION
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,INSIGHT
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,INTIMIDATION
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,PERSUASION
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,RELIGION
d5dabf61-a3cb-5dde-a75e-9667de1e6294,ARCANA
d5dabf61-a3cb-5dde-a75e-9667de1e6294,DECEPTION
d5dabf61-a3cb-5dde-a75e-9667de1e6294,HISTORY
d5dabf61-a3cb-5dde-a75e-9667de1e6294,INTIMIDATION
d5dabf61-a3cb-5dde-a75e-9667de1e6294,INVESTIGATION
d5dabf61-a3cb-5dde-a75e-9667de1e6294,NATURE
d5dabf61-a3cb-5dde-a75e-9667de1e6294,RELIGION
809eb721-f97d-511f-8874-9bfe81c64628,ARCANA
809eb721-f97d-511f-8874-9bfe81c64628,HISTORY
809eb721-f97d-511f-8874-9bfe81c64628,INSIGHT
809eb721-f97d-511f-8874-9bfe81c64628,INVESTIGATION
809eb721-f97d-511f-8874-9bfe81c64628,MEDICINE
809eb721-f97d-511f-8874-9bfe81c64628,NATURE
809eb721-f97d-511f-8874-9bfe81c64628,RELIGION
