spell_name,vocation_id
Animal Messenger,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Blindness/Deafness,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Calm Emotions,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Detect Thoughts,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Enhance Ability,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Enlarge/Reduce,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Enthrall,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Heat Metal,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Hold Person,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Invisibility,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Knock,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Lesser Restoration,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Locate Animals or Plants,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Locate Object,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Magic Mouth,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mirror Image,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
See Invisibility,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Shatter,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Silence,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Suggestion,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Zone of Truth,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Bestow Curse,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Clairvoyance,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Dispel Magic,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Fear,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Glyph of Warding,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Hypnotic Pattern,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Major Image,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mass Healing Word,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Nondetection,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Plant Growth,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Sending,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Slow,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Speak with Dead,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Speak with Plants,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Stinking Cloud,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Tiny Hut,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Tongues,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Charm Monster,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Compulsion,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Confusion,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Dimension Door,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Freedom of Movement,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Greater Invisibility,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Hallucinatory Terrain,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Locate Creature,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Phantasmal Killer,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Polymorph,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Animate Objects,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Awaken,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Dominate Person,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Dream,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Geas,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Greater Restoration,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Hold Monster,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Legend Lore,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mass Cure Wounds,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mislead,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Modify Memory,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Planar Binding,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Raise Dead,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Scrying,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Seeming,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Telepathic Bond,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Teleportation Circle,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Eyebite,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Find the Path,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Guards and Wards,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Heroes' Feast,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Irresistible Dance,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mass Suggestion,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Programmed Illusion,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
True Seeing,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Arcane Sword,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Etherealness,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Forcecage,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Magnificent Mansion,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mirage Arcane,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Prismatic Spray,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Project Image,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Regenerate,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Resurrection,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Symbol,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Teleport,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Antipathy/Sympathy,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Befuddlement,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Dominate Monster,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Glibness,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mind Blank,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Power Word Stun,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Foresight,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Power Word Heal,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Power Word Kill,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Prismatic Wall,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
True Polymorph,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Guidance,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Light,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Mending,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Resistance,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Sacred Flame,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Spare the Dying,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Thaumaturgy,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Bane,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Bless,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Command,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Create or Destroy Water,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Cure Wounds,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Detect Evil and Good,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Detect Magic,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Detect Poison and Disease,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Guiding Bolt,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Healing Word,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Inflict Wounds,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Protection from Evil and Good,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Purify Food and Drink,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Sanctuary,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Shield of Faith,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Aid,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Augury,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Blindness/Deafness,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Calm Emotions,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Continual Flame,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Enhance Ability,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Find Traps,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Gentle Repose,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Hold Person,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Lesser Restoration,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Locate Object,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Prayer of Healing,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Protection from Poison,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Silence,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Spiritual Weapon,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Warding Bond,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Zone of Truth,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Animate Dead,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Beacon of Hope,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Bestow Curse,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Clairvoyance,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Create Food and Water,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Daylight,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Dispel Magic,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Glyph of Warding,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Magic Circle,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Mass Healing Word,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Meld into Stone,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Protection from Energy,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Remove Curse,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Revivify,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Sending,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Speak with Dead,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Spirit Guardians,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Tongues,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Water Walk,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Aura of Life,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Banishment,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Control Water,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Death Ward,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Divination,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Freedom of Movement,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Guardian of Faith,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Locate Creature,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Stone Shape,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Commune,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Contagion,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Dispel Evil and Good,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Flame Strike,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Geas,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Greater Restoration,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Hallow,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Insect Plague,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Legend Lore,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Mass Cure Wounds,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Planar Binding,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Raise Dead,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Scrying,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Blade Barrier,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Create Undead,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Find the Path,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Forbiddance,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Harm,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Heal,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Heroes' Feast,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Planar Ally,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Sunbeam,5a766548-3c4f-5273-89ee-11a90d1e7ce1
True Seeing,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Word of Recall,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Conjure Celestial,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Divine Word,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Etherealness,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Fire Storm,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Plane Shift,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Regenerate,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Resurrection,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Symbol,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Antimagic Field,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Control Weather,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Earthquake,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Holy Aura,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Sunburst,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Astral Projection,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Gate,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Mass Heal,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Power Word Heal,5a766548-3c4f-5273-89ee-11a90d1e7ce1
True Resurrection,5a766548-3c4f-5273-89ee-11a90d1e7ce1
Druidcraft,d328bebd-d404-53ab-a8e1-30020cfac6e6
Elementalism,d328bebd-d404-53ab-a8e1-30020cfac6e6
Guidance,d328bebd-d404-53ab-a8e1-30020cfac6e6
Mending,d328bebd-d404-53ab-a8e1-30020cfac6e6
Message,d328bebd-d404-53ab-a8e1-30020cfac6e6
Poison Spray,d328bebd-d404-53ab-a8e1-30020cfac6e6
Produce Flame,d328bebd-d404-53ab-a8e1-30020cfac6e6
Resistance,d328bebd-d404-53ab-a8e1-30020cfac6e6
Shillelagh,d328bebd-d404-53ab-a8e1-30020cfac6e6
Spare the Dying,d328bebd-d404-53ab-a8e1-30020cfac6e6
Starry Wisp,d328bebd-d404-53ab-a8e1-30020cfac6e6
Animal Friendship,d328bebd-d404-53ab-a8e1-30020cfac6e6
Charm Person,d328bebd-d404-53ab-a8e1-30020cfac6e6
Create or Destroy Water,d328bebd-d404-53ab-a8e1-30020cfac6e6
Cure Wounds,d328bebd-d404-53ab-a8e1-30020cfac6e6
Detect Magic,d328bebd-d404-53ab-a8e1-30020cfac6e6
Detect Poison and Disease,d328bebd-d404-53ab-a8e1-30020cfac6e6
Entangle,d328bebd-d404-53ab-a8e1-30020cfac6e6
Faerie Fire,d328bebd-d404-53ab-a8e1-30020cfac6e6
Fog Cloud,d328bebd-d404-53ab-a8e1-30020cfac6e6
Goodberry,d328bebd-d404-53ab-a8e1-30020cfac6e6
Healing Word,d328bebd-d404-53ab-a8e1-30020cfac6e6
Ice Knife,d328bebd-d404-53ab-a8e1-30020cfac6e6
Jump,d328bebd-d404-53ab-a8e1-30020cfac6e6
Longstrider,d328bebd-d404-53ab-a8e1-30020cfac6e6
Protection from Evil and Good,d328bebd-d404-53ab-a8e1-30020cfac6e6
Purify Food and Drink,d328bebd-d404-53ab-a8e1-30020cfac6e6
Speak with Animals,d328bebd-d404-53ab-a8e1-30020cfac6e6
Thunderwave,d328bebd-d404-53ab-a8e1-30020cfac6e6
Aid,d328bebd-d404-53ab-a8e1-30020cfac6e6
Animal Messenger,d328bebd-d404-53ab-a8e1-30020cfac6e6
Augury,d328bebd-d404-53ab-a8e1-30020cfac6e6
Barkskin,d328bebd-d404-53ab-a8e1-30020cfac6e6
Continual Flame,d328bebd-d404-53ab-a8e1-30020cfac6e6
Darkvision,d328bebd-d404-53ab-a8e1-30020cfac6e6
Enhance Ability,d328bebd-d404-53ab-a8e1-30020cfac6e6
Enlarge/Reduce,d328bebd-d404-53ab-a8e1-30020cfac6e6
Find Traps,d328bebd-d404-53ab-a8e1-30020cfac6e6
Flame Blade,d328bebd-d404-53ab-a8e1-30020cfac6e6
Flaming Sphere,d328bebd-d404-53ab-a8e1-30020cfac6e6
Gust of Wind,d328bebd-d404-53ab-a8e1-30020cfac6e6
Heat Metal,d328bebd-d404-53ab-a8e1-30020cfac6e6
Hold Person,d328bebd-d404-53ab-a8e1-30020cfac6e6
Lesser Restoration,d328bebd-d404-53ab-a8e1-30020cfac6e6
Locate Animals or Plants,d328bebd-d404-53ab-a8e1-30020cfac6e6
Locate Object,d328bebd-d404-53ab-a8e1-30020cfac6e6
Moonbeam,d328bebd-d404-53ab-a8e1-30020cfac6e6
Pass without Trace,d328bebd-d404-53ab-a8e1-30020cfac6e6
Protection from Poison,d328bebd-d404-53ab-a8e1-30020cfac6e6
Spike Growth,d328bebd-d404-53ab-a8e1-30020cfac6e6
Call Lightning,d328bebd-d404-53ab-a8e1-30020cfac6e6
Conjure Animals,d328bebd-d404-53ab-a8e1-30020cfac6e6
Daylight,d328bebd-d404-53ab-a8e1-30020cfac6e6
Dispel Magic,d328bebd-d404-53ab-a8e1-30020cfac6e6
Meld into Stone,d328bebd-d404-53ab-a8e1-30020cfac6e6
Plant Growth,d328bebd-d404-53ab-a8e1-30020cfac6e6
Protection from Energy,d328bebd-d404-53ab-a8e1-30020cfac6e6
Revivify,d328bebd-d404-53ab-a8e1-30020cfac6e6
Sleet Storm,d328bebd-d404-53ab-a8e1-30020cfac6e6
Speak with Plants,d328bebd-d404-53ab-a8e1-30020cfac6e6
Water Breathing,d328bebd-d404-53ab-a8e1-30020cfac6e6
Water Walk,d328bebd-d404-53ab-a8e1-30020cfac6e6
Wind Wall,d328bebd-d404-53ab-a8e1-30020cfac6e6
Blight,d328bebd-d404-53ab-a8e1-30020cfac6e6
Charm Monster,d328bebd-d404-53ab-a8e1-30020cfac6e6
Confusion,d328bebd-d404-53ab-a8e1-30020cfac6e6
Conjure Minor Elementals,d328bebd-d404-53ab-a8e1-30020cfac6e6
Conjure Woodland Beings,d328bebd-d404-53ab-a8e1-30020cfac6e6
Control Water,d328bebd-d404-53ab-a8e1-30020cfac6e6
Divination,d328bebd-d404-53ab-a8e1-30020cfac6e6
Dominate Beast,d328bebd-d404-53ab-a8e1-30020cfac6e6
Fire Shield,d328bebd-d404-53ab-a8e1-30020cfac6e6
Freedom of Movement,d328bebd-d404-53ab-a8e1-30020cfac6e6
Giant Insect,d328bebd-d404-53ab-a8e1-30020cfac6e6
Hallucinatory Terrain,d328bebd-d404-53ab-a8e1-30020cfac6e6
Ice Storm,d328bebd-d404-53ab-a8e1-30020cfac6e6
Locate Creature,d328bebd-d404-53ab-a8e1-30020cfac6e6
Polymorph,d328bebd-d404-53ab-a8e1-30020cfac6e6
Stone Shape,d328bebd-d404-53ab-a8e1-30020cfac6e6
Stoneskin,d328bebd-d404-53ab-a8e1-30020cfac6e6
Wall of Fire,d328bebd-d404-53ab-a8e1-30020cfac6e6
Antilife Shell,d328bebd-d404-53ab-a8e1-30020cfac6e6
Awaken,d328bebd-d404-53ab-a8e1-30020cfac6e6
Commune with Nature,d328bebd-d404-53ab-a8e1-30020cfac6e6
Cone of Cold,d328bebd-d404-53ab-a8e1-30020cfac6e6
Conjure Elemental,d328bebd-d404-53ab-a8e1-30020cfac6e6
Contagion,d328bebd-d404-53ab-a8e1-30020cfac6e6
Geas,d328bebd-d404-53ab-a8e1-30020cfac6e6
Greater Restoration,d328bebd-d404-53ab-a8e1-30020cfac6e6
Insect Plague,d328bebd-d404-53ab-a8e1-30020cfac6e6
Mass Cure Wounds,d328bebd-d404-53ab-a8e1-30020cfac6e6
Planar Binding,d328bebd-d404-53ab-a8e1-30020cfac6e6
Reincarnate,d328bebd-d404-53ab-a8e1-30020cfac6e6
Scrying,d328bebd-d404-53ab-a8e1-30020cfac6e6
Tree Stride,d328bebd-d404-53ab-a8e1-30020cfac6e6
Wall of Stone,d328bebd-d404-53ab-a8e1-30020cfac6e6
Conjure Fey,d328bebd-d404-53ab-a8e1-30020cfac6e6
Find the Path,d328bebd-d404-53ab-a8e1-30020cfac6e6
Flesh to Stone,d328bebd-d404-53ab-a8e1-30020cfac6e6
Heal,d328bebd-d404-53ab-a8e1-30020cfac6e6
Heroes' Feast,d328bebd-d404-53ab-a8e1-30020cfac6e6
Move Earth,d328bebd-d404-53ab-a8e1-30020cfac6e6
Sunbeam,d328bebd-d404-53ab-a8e1-30020cfac6e6
Transport via Plants,d328bebd-d404-53ab-a8e1-30020cfac6e6
Wall of Thorns,d328bebd-d404-53ab-a8e1-30020cfac6e6
Wind Walk,d328bebd-d404-53ab-a8e1-30020cfac6e6
Fire Storm,d328bebd-d404-53ab-a8e1-30020cfac6e6
Mirage Arcane,d328bebd-d404-53ab-a8e1-30020cfac6e6
Plane Shift,d328bebd-d404-53ab-a8e1-30020cfac6e6
Regenerate,d328bebd-d404-53ab-a8e1-30020cfac6e6
Reverse Gravity,d328bebd-d404-53ab-a8e1-30020cfac6e6
Symbol,d328bebd-d404-53ab-a8e1-30020cfac6e6
Animal Shapes,d328bebd-d404-53ab-a8e1-30020cfac6e6
Antipathy/Sympathy,d328bebd-d404-53ab-a8e1-30020cfac6e6
Befuddlement,d328bebd-d404-53ab-a8e1-30020cfac6e6
Control Weather,d328bebd-d404-53ab-a8e1-30020cfac6e6
Earthquake,d328bebd-d404-53ab-a8e1-30020cfac6e6
Incendiary Cloud,d328bebd-d404-53ab-a8e1-30020cfac6e6
Sunburst,d328bebd-d404-53ab-a8e1-30020cfac6e6
Tsunami,d328bebd-d404-53ab-a8e1-30020cfac6e6
Foresight,d328bebd-d404-53ab-a8e1-30020cfac6e6
Shapechange,d328bebd-d404-53ab-a8e1-30020cfac6e6
Storm of Vengeance,d328bebd-d404-53ab-a8e1-30020cfac6e6
True Resurrection,d328bebd-d404-53ab-a8e1-30020cfac6e6
Bless,eeb719a0-134e-5484-837c-c2ca360facaf
Command,eeb719a0-134e-5484-837c-c2ca360facaf
Cure Wounds,eeb719a0-134e-5484-837c-c2ca360facaf
Detect Evil and Good,eeb719a0-134e-5484-837c-c2ca360facaf
Detect Magic,eeb719a0-134e-5484-837c-c2ca360facaf
Detect Poison and Disease,eeb719a0-134e-5484-837c-c2ca360facaf
Divine Favor,eeb719a0-134e-5484-837c-c2ca360facaf
Divine Smite,eeb719a0-134e-5484-837c-c2ca360facaf
Heroism,eeb719a0-134e-5484-837c-c2ca360facaf
Protection from Evil and Good,eeb719a0-134e-5484-837c-c2ca360facaf
Purify Food and Drink,eeb719a0-134e-5484-837c-c2ca360facaf
Searing Smite,eeb719a0-134e-5484-837c-c2ca360facaf
Shield of Faith,eeb719a0-134e-5484-837c-c2ca360facaf
Aid,eeb719a0-134e-5484-837c-c2ca360facaf
Find Steed,eeb719a0-134e-5484-837c-c2ca360facaf
Gentle Repose,eeb719a0-134e-5484-837c-c2ca360facaf
Lesser Restoration,eeb719a0-134e-5484-837c-c2ca360facaf
Locate Object,eeb719a0-134e-5484-837c-c2ca360facaf
Magic Weapon,eeb719a0-134e-5484-837c-c2ca360facaf
Prayer of Healing,eeb719a0-134e-5484-837c-c2ca360facaf
Protection from Poison,eeb719a0-134e-5484-837c-c2ca360facaf
Shining Smite,eeb719a0-134e-5484-837c-c2ca360facaf
Warding Bond,eeb719a0-134e-5484-837c-c2ca360facaf
Zone of Truth,eeb719a0-134e-5484-837c-c2ca360facaf
Create Food and Water,eeb719a0-134e-5484-837c-c2ca360facaf
Daylight,eeb719a0-134e-5484-837c-c2ca360facaf
Dispel Magic,eeb719a0-134e-5484-837c-c2ca360facaf
Magic Circle,eeb719a0-134e-5484-837c-c2ca360facaf
Remove Curse,eeb719a0-134e-5484-837c-c2ca360facaf
Revivify,eeb719a0-134e-5484-837c-c2ca360facaf
Aura of Life,eeb719a0-134e-5484-837c-c2ca360facaf
Banishment,eeb719a0-134e-5484-837c-c2ca360facaf
Death Ward,eeb719a0-134e-5484-837c-c2ca360facaf
Locate Creature,eeb719a0-134e-5484-837c-c2ca360facaf
Dispel Evil and Good,eeb719a0-134e-5484-837c-c2ca360facaf
Geas,eeb719a0-134e-5484-837c-c2ca360facaf
Greater Restoration,eeb719a0-134e-5484-837c-c2ca360facaf
Raise Dead,eeb719a0-134e-5484-837c-c2ca360facaf
Alarm,bfb29762-cbb4-532e-a82f-54808c7e209d
