tool_item_id,crafted_item_id
2dc73820-8a5a-5764-b54f-1787dbc3a7cf,eed50ecc-f9b3-5d30-9586-60c6e085fdba
1cf75748-acd6-53c2-8eb9-e063334b5b6b,f8087ed2-34a8-5c5c-86f0-5822efa783d5
1cf75748-acd6-53c2-8eb9-e063334b5b6b,75fda211-b7b0-5555-b223-9ec94c998b2d
1cf75748-acd6-53c2-8eb9-e063334b5b6b,72f9bb43-cee3-5aca-8705-7f19770c2089
1cf75748-acd6-53c2-8eb9-e063334b5b6b,10cb5067-7b6a-53fc-924f-3421aaaaa41f
1cf75748-acd6-53c2-8eb9-e063334b5b6b,69221ae9-4c04-579e-8ff6-b94068dcfff3
1cf75748-acd6-53c2-8eb9-e063334b5b6b,cbec1c4d-a2a5-58d0-a6f8-06b8c8e3b8d4
1cf75748-acd6-53c2-8eb9-e063334b5b6b,a6728b32-2517-5b0c-9e93-6eab0199a987
1cf75748-acd6-53c2-8eb9-e063334b5b6b,9504f94e-dc32-5ead-b120-abcbd9311ab4
1cf75748-acd6-53c2-8eb9-e063334b5b6b,13134b0a-7bfa-5a0b-87ed-a3ff8e99b5c0
1cf75748-acd6-53c2-8eb9-e063334b5b6b,ecd2a1a3-dce4-5ea9-a919-2f571859820d
1cf75748-acd6-53c2-8eb9-e063334b5b6b,82768cd4-3386-5e7c-b33d-61391a3d0413
1cf75748-acd6-53c2-8eb9-e063334b5b6b,c069dbdc-3f7b-5b62-a8c3-e44c178289bc
d5654f62-45fe-5459-b8c5-94f01368bccb,517513bd-d0bc-5650-b68a-4b3c26b18293
78890c9f-2f8c-541c-b333-d635dcb8bd0c,3205e5f3-654f-597e-8fbb-0537d9a2d5b7
78890c9f-2f8c-541c-b333-d635dcb8bd0c,eed50ecc-f9b3-5d30-9586-60c6e085fdba
5757e02c-af9e-5b28-902c-c28c9538c3b9,699c01f4-fbe7-5900-9a36-74180ff55100
5757e02c-af9e-5b28-902c-c28c9538c3b9,666e6ed5-ac55-5a3d-9126-6cea17d3d003
809d1f44-1309-59ce-af82-b527726e668c,3e938aa0-cd58-5564-a386-5336a4c7294d
809d1f44-1309-59ce-af82-b527726e668c,f2544943-5e2b-5806-8721-e71e7a6c436d
809d1f44-1309-59ce-af82-b527726e668c,7dfde1eb-8789-55e5-9f9b-31a99e465e7c
809d1f44-1309-59ce-af82-b527726e668c,1a1738df-e84f-53f2-b170-0565b87f0f21
809d1f44-1309-59ce-af82-b527726e668c,ce98fc77-7c59-54a1-bf6b-e0087dabefbe
809d1f44-1309-59ce-af82-b527726e668c,53ad4fa1-c267-5071-b7bf-ca2a81ceb04c
809d1f44-1309-59ce-af82-b527726e668c,e9707af0-de13-5940-a87b-9d647e40b013
809d1f44-1309-59ce-af82-b527726e668c,7e6a2f87-b006-5190-85f5-6f4e881a203d
809d1f44-1309-59ce-af82-b527726e668c,fa2c149a-5474-5eb5-aa6b-c27958593d66
809d1f44-1309-59ce-af82-b527726e668c,0f872433-f266-5c3e-b13f-f5a6136b987a
c12854d6-6aff-5491-a3cc-4771aeb46fb5,99391c75-3d86-5339-8be6-512c60aacb5a
c12854d6-6aff-5491-a3cc-4771aeb46fb5,5f8bd190-3248-5a47-975b-e6854bdf60f5
c12854d6-6aff-5491-a3cc-4771aeb46fb5,a671d628-0f60-52b5-9211-b3ae5e673075
c12854d6-6aff-5491-a3cc-4771aeb46fb5,3400245b-c731-5e37-bb11-9242e6c48f21
c12854d6-6aff-5491-a3cc-4771aeb46fb5,ce69e089-bffd-5e21-8b72-bf947361f33b
c12854d6-6aff-5491-a3cc-4771aeb46fb5,0aad91d5-d980-5d9a-8154-55547c376055
c12854d6-6aff-5491-a3cc-4771aeb46fb5,74df88f3-0f9c-5896-a009-1d212ea2c9dd
c12854d6-6aff-5491-a3cc-4771aeb46fb5,94d6fd0d-65ea-555d-9783-e38c7e1811b4
c12854d6-6aff-5491-a3cc-4771aeb46fb5,d9b4519c-8626-520b-892b-f03ee8445fa4
c12854d6-6aff-5491-a3cc-4771aeb46fb5,c73a35e7-6d2b-5c73-b127-dfc0bdd8dcba
c12854d6-6aff-5491-a3cc-4771aeb46fb5,a21a8b7e-0689-5f46-bdef-34bbbd883966
c12854d6-6aff-5491-a3cc-4771aeb46fb5,7b29e687-3cc0-5279-9205-7b16e70a8ea0
c12854d6-6aff-5491-a3cc-4771aeb46fb5,a9cf8a83-e293-549d-9aa8-2ddf935c8f84
434a1726-74df-5750-829b-7dffb94980fb,e6ce03ce-cb31-5d1c-abdf-0c8d18a8dd9f
434a1726-74df-5750-829b-7dffb94980fb,44eb88af-8fcf-57c1-9aef-24d26c94afd7
434a1726-74df-5750-829b-7dffb94980fb,c8cfd33b-dacf-562b-a5f8-35ff7c3c81db
434a1726-74df-5750-829b-7dffb94980fb,9eb12ebb-5675-5528-bc44-4cb7affd1ddf
434a1726-74df-5750-829b-7dffb94980fb,45eded0a-37cb-597e-bffa-a4e87f76684b
434a1726-74df-5750-829b-7dffb94980fb,5b8f1bb2-2fb3-5ff0-91e2-d98a856694af
434a1726-74df-5750-829b-7dffb94980fb,83b795e2-2448-5d0b-9f22-ef9765d8d4f9
434a1726-74df-5750-829b-7dffb94980fb,700e05ef-0b3f-5752-ad66-fe4200ae2949
434a1726-74df-5750-829b-7dffb94980fb,962708a2-31aa-56a2-a7fc-719b71c9c44c
434a1726-74df-5750-829b-7dffb94980fb,f613613d-3011-52e4-be55-f263d858dac1
434a1726-74df-5750-829b-7dffb94980fb,99df1960-3caa-5c24-b02f-7449ad413865
434a1726-74df-5750-829b-7dffb94980fb,9cf28042-abb9-5285-a045-45fa9002f706
e3413c4d-6440-5b1b-851e-30f2c5cd5756,194a0906-3ac5-59cd-877b-5dd609840d8e
e3413c4d-6440-5b1b-851e-30f2c5cd5756,e9c509af-c798-5af6-8a88-4f28e77de06f
e3413c4d-6440-5b1b-851e-30f2c5cd5756,6b57b751-aa30-5683-acfd-99a14a8c3982
e3413c4d-6440-5b1b-851e-30f2c5cd5756,cf75eaa1-cbb7-5134-a476-bc9a84346449
e3413c4d-6440-5b1b-851e-30f2c5cd5756,ed88e30f-29eb-52db-b6d1-abd12a042208
e3413c4d-6440-5b1b-851e-30f2c5cd5756,7be1a21d-3bf2-53f8-8b14-47eabede177e
e3413c4d-6440-5b1b-851e-30f2c5cd5756,3205e5f3-654f-597e-8fbb-0537d9a2d5b7
e3413c4d-6440-5b1b-851e-30f2c5cd5756,8a0e23ae-1a96-57b6-bc52-ff63376eb53a
e3413c4d-6440-5b1b-851e-30f2c5cd5756,0e7fc3cc-4429-5e0e-82ab-9cd5fbbabace
d23ad6c9-8317-5830-acb1-9103fc76a430,8cd12b63-400c-5ec2-9d1d-22ad6992497f
f4a8b257-e578-5e1b-90a9-08ec90145415,e5d2939b-8a14-5761-b1a5-3ee0e56a8e73
f4a8b257-e578-5e1b-90a9-08ec90145415,6bfa8eb5-f678-533d-80f8-c84fcea87b12
f4a8b257-e578-5e1b-90a9-08ec90145415,da6e2d83-207c-5809-82e7-8eaf6c2958db
f4a8b257-e578-5e1b-90a9-08ec90145415,30b27c7f-3aae-5059-8fc7-a79751f9dc05
22dec447-dd6c-5b0e-a97d-a58391c50010,91dae09c-914e-5a7b-af47-e5c165212792
